title,stars_in_movie
Seabiscuit,Tobey Maguire
Cast Away,Tom Hanks
Happy Feet,"Hugh Jackman, Nicole Kidman, Elijah Wood"
The Bourne Supremacy,Matt Damon
Air Force One,"Harrison Ford, Gary Oldman"
Ocean's Eleven,"Brad Pitt, George Clooney, Matt Damon"
The Three Musketeers,Christoph Waltz
Hotel Transylvania,Adam Sandler
Safe House,"Ryan Reynolds, Denzel Washington"
Tower Heist,Matthew Broderick
The Holiday,Cameron Diaz
Enemy of the State,Will Smith
It's Complicated,Meryl Streep
Ocean's Thirteen,"Brad Pitt, George Clooney, Matt Damon, Al Pacino"
The Rundown,Dwayne Johnson
Last Action Hero,Ian McKellen
Meet Joe Black,Brad Pitt
Mirror Mirror,Armie Hammer
Scott Pilgrim vs. the World,"Chris Evans, Michael Cera, Jason Schwartzman"
Dredd,Domhnall Gleeson
Click,Adam Sandler
Jumper,Samuel L. Jackson
Zodiac,"Jake Gyllenhaal, Mark Ruffalo, Robert Downey Jr."
The Expendables,Jason Statham
The Hunger Games,"Jennifer Lawrence, Liam Hemsworth, Josh Hutcherson"
Batman Returns,Michael Keaton
Deep Impact,Elijah Wood
The Longest Yard,Adam Sandler
Alvin and the Chipmunks: Chipwrecked,Amy Poehler
Grown Ups 2,Adam Sandler
Get Smart,Dwayne Johnson
Shutter Island,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley"
Robots,Ewan McGregor
Bedtime Stories,Adam Sandler
Road to Perdition,Tom Hanks
Just Go with It,"Nicole Kidman, Adam Sandler"
Cold Mountain,"Nicole Kidman, Natalie Portman"
The Book of Eli,"Denzel Washington, Gary Oldman"
The Haunting,Liam Neeson
The Pink Panther,Jason Statham
Fury,Brad Pitt
Six Days Seven Nights,Harrison Ford
Spirit: Stallion of the Cimarron,Matt Damon
Zookeeper,Adam Sandler
Lost in Space,Gary Oldman
The Manchurian Candidate,"Denzel Washington, Meryl Streep"
Hotel Transylvania 2,Adam Sandler
Swordfish,Hugh Jackman
Little Nicky,Adam Sandler
The Brothers Grimm,"Matt Damon, Heath Ledger"
Mars Attacks!,Natalie Portman
Daylight,Viggo Mortensen
Nine,Nicole Kidman
The Last Witch Hunter,"Elijah Wood, Michael Caine"
Red Planet,Carrie-Anne Moss
Arthur and the Invisibles,Robert De Niro
A Sound of Thunder,Ben Kingsley
Pompeii,Carrie-Anne Moss
The Lion King,Matthew Broderick
Journey 2: The Mysterious Island,"Dwayne Johnson, Michael Caine, Josh Hutcherson"
Red Dragon,"Ralph Fiennes, Edward Norton"
Hidalgo,Viggo Mortensen
Jack and Jill,"Adam Sandler, Al Pacino, Johnny Depp"
2 Fast 2 Furious,John Cena
The Little Prince,Rachel McAdams
The Invasion,Nicole Kidman
The Adventures of Rocky & Bullwinkle,Robert De Niro
The Secret Life of Pets,Kevin Hart
Independence Day,"Will Smith, Jeff Goldblum"
The Lost World: Jurassic Park,Jeff Goldblum
Children of Men,Michael Caine
X-Men,"Hugh Jackman, Ian McKellen"
Wanted,Chris Pratt
50 First Dates,Adam Sandler
Inspector Gadget,Matthew Broderick
Now You See Me,"Mark Ruffalo, Michael Caine"
Grown Ups,Adam Sandler
The Terminal,Tom Hanks
Charlie Wilson's War,"Tom Hanks, Emily Blunt"
Shark Tale,"Will Smith, Robert De Niro"
Be Cool,"Dwayne Johnson, Uma Thurman"
The Man from U.N.C.L.E.,Armie Hammer
Spanglish,Adam Sandler
Titan A.E.,Matt Damon
Hollywood Homicide,Harrison Ford
Unbreakable,Samuel L. Jackson
Minions,Michael Keaton
Sphere,Samuel L. Jackson
Fool's Gold,Kevin Hart
Funny People,"Adam Sandler, Jason Schwartzman"
The Kingdom,Jennifer Garner
Jarhead,Jake Gyllenhaal
The Simpsons Movie,Tom Hanks
The Majestic,Matt Damon
The Village,"Joaquin Phoenix, Sigourney Weaver, Adrien Brody"
Signs,Joaquin Phoenix
Shrek 2,"Mike Myers, Cameron Diaz"
Cars,"Tom Hanks, Michael Keaton"
xXx,Samuel L. Jackson
Inglourious Basterds,"Brad Pitt, Samuel L. Jackson, Mike Myers, Christoph Waltz"
Hook,Carrie Fisher
S.W.A.T.,Samuel L. Jackson
Vanilla Sky,Cameron Diaz
Alvin and the Chipmunks: The Squeakquel,Amy Poehler
Big Fish,Ewan McGregor
War Horse,Benedict Cumberbatch
The Monuments Men,"George Clooney, Matt Damon"
Wall Street: Money Never Sleeps,Carey Mulligan
The Siege,Denzel Washington
Stardust,"Robert De Niro, Ian McKellen"
Seven Years in Tibet,Brad Pitt
The Dilemma,"Channing Tatum, Winona Ryder"
Doom,Dwayne Johnson
Hart's War,Sam Worthington
Killer Elite,"Jason Statham, Robert De Niro"
Blackhat,Chris Hemsworth
The Twilight Saga: Eclipse,Robert Pattinson
The Score,"Robert De Niro, Edward Norton, Marlon Brando"
Ted 2,"Mark Wahlberg, Liam Neeson"
The Insider,Al Pacino
Body of Lies,Leonardo DiCaprio
