title,stars_in_movie
Scoop,"Hugh Jackman, Scarlett Johansson"
You Kill Me,Ben Kingsley
Prison,Viggo Mortensen
The Last Time I Committed Suicide,Adrien Brody
Four Lions,Benedict Cumberbatch
Menace II Society,Samuel L. Jackson
The Witch,Anya Taylor-Joy
She's the One,Cameron Diaz
Gods and Monsters,Ian McKellen
Beginners,Ewan McGregor
Trainspotting,Ewan McGregor
Basquiat,"Willem Dafoe, Gary Oldman"
Tusk,Johnny Depp
Bachelorette,Kirsten Dunst
Tim and Eric's Billion Dollar Movie,"Johnny Depp, Jeff Goldblum"
They Came Together,Amy Poehler
Maurice,Ben Kingsley
That Thing You Do!,Tom Hanks
Kevin Hart: Let Me Explain,Kevin Hart
Garden State,Natalie Portman
My Life Without Me,Mark Ruffalo
American Splendor,Josh Hutcherson
Winter's Bone,Jennifer Lawrence
Inside Job,Matt Damon
Harsh Times,Christian Bale
Full Frontal,Brad Pitt
London,"Jason Statham, Chris Evans"
Highway,Jake Gyllenhaal
Slacker Uprising,Viggo Mortensen
Buried,Ryan Reynolds
A Streetcar Named Desire,Marlon Brando
My Summer of Love,Emily Blunt
The Conversation,Harrison Ford
Kickboxer: Vengeance,Dave Bautista
The Believer,Ryan Gosling
"Lock, Stock and Two Smoking Barrels",Jason Statham
Trees Lounge,Samuel L. Jackson
You Can Count on Me,"Mark Ruffalo, Matthew Broderick"
Extreme Movie,Michael Cera
Waiting...,Ryan Reynolds
Taxi Driver,Robert De Niro
Blue Valentine,Ryan Gosling
Two Girls and a Guy,Robert Downey Jr.
Who Killed the Electric Car?,Tom Hanks
Lisa Picard Is Famous,Carrie Fisher
Safe Men,Mark Ruffalo
The Last Big Thing,Mark Ruffalo
Hits,Michael Cera
The Poker House,Jennifer Lawrence
On the Waterfront,Marlon Brando
Latter Days,Joseph Gordon-Levitt
Celeste & Jesse Forever,Elijah Wood
American Graffiti,Harrison Ford
Kevin Hart: Laugh at My Pain,Kevin Hart
Half Nelson,Ryan Gosling
Beyond the Mat,Dwayne Johnson
Johnny Suede,"Brad Pitt, Samuel L. Jackson"
The Slaughter Rule,Ryan Gosling
What Happens in Vegas,Cameron Diaz
Maniac,Elijah Wood
The Prophecy,Viggo Mortensen
Chasing Amy,Matt Damon
Lovely & Amazing,Jake Gyllenhaal
Like Crazy,Jennifer Lawrence
Bronson,Tom Hardy
Tadpole,Sigourney Weaver
Your Sister's Sister,Emily Blunt
The Birth of a Nation,Armie Hammer
My Date with Drew,Samuel L. Jackson
