title,stars_in_movie,critic_score,audience_score,awards_all,nomination_count,award_count,awards_won,awards_nominated,worldwide_gross,rank,release_date,production_budget
The Pallbearer,,48.0,18.0,,0,0,,,,"4,474","May 3, 1996","$8,000,000"
Spy Hard,,7.0,31.0,,0,0,,,26936265.0,"3,200","May 24, 1996","$18,000,000"
Dragonheart,,50.0,60.0,Oscars - VISUAL EFFECTS(Nominated),1,0,,Oscars - VISUAL EFFECTS(Nominated),104364680.0,"1,184","May 31, 1996","$57,000,000"
The Cable Guy,Matthew Broderick,55.0,51.0,,0,0,,,102825796.0,"1,471","Jun 14, 1996","$47,000,000"
Eraser,,43.0,40.0,Oscars - SOUND EFFECTS EDITING(Nominated),1,0,,Oscars - SOUND EFFECTS EDITING(Nominated),234400000.0,495,"Jun 21, 1996","$100,000,000"
Striptease,,13.0,24.0,,0,0,,,113309743.0,"1,382","Jun 28, 1996","$50,000,000"
Phenomenon,,49.0,59.0,,0,0,,,152036382.0,"2,090","Jul 5, 1996","$32,000,000"
Courage Under Fire,"Matt Damon, Denzel Washington",86.0,66.0,,0,0,,,100833145.0,"1,487","Jul 12, 1996","$46,000,000"
Multiplicity,Michael Keaton,45.0,49.0,,0,0,,,20133326.0,"1,551","Jul 17, 1996","$45,000,000"
Fled,,18.0,23.0,,0,0,,,19892205.0,"2,275","Jul 19, 1996","$30,000,000"
Trainspotting,Ewan McGregor,90.0,93.0,"Oscars - WRITING (Screenplay Based on Material Previously Produced or Published)(Nominated)
BAFTAs - Film | Adapted Screenplay in 1996(Won)
BAFTAs - Film | Alexander Korda Award for the outstanding British Film of the Year in 1996(Nominated)",3,1,BAFTAs - Film | Adapted Screenplay in 1996(Won),"Oscars - WRITING (Screenplay Based on Material Previously Produced or Published)(Nominated)
BAFTAs - Film | Alexander Korda Award for the outstanding British Film of the Year in 1996(Nominated)",71548935.0,"5,359","May 16, 1996","$3,100,000"
Basquiat,"Willem Dafoe, Gary Oldman",67.0,77.0,,0,0,,,,"5,430","Aug 9, 1996","$3,000,000"
Kansas City,,60.0,43.0,,0,0,,,,"3,154","Aug 16, 1996","$19,000,000"
Tin Cup,,72.0,65.0,Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated),1,0,,Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated),75854588.0,"1,522","Aug 16, 1996","$45,000,000"
