title,stars_in_movie,critic_score,audience_score,awards_all,nomination_count,award_count,awards_won,awards_nominated,worldwide_gross,rank,release_date,production_budget
"Roman J. Israel, Esq.",,55.0,57.0,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)",2,0,,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)",,"2,809","Nov 17, 2017","$22,000,000"
Call Me by Your Name,,94.0,86.0,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Adapted Screenplay)(Won)
BAFTAs - Film | Adapted Screenplay in 2018(Won)
BAFTAs - Film | Best Film in 2018(Nominated)
BAFTAs - Film | Director in 2018(Nominated)",7,2,"Oscars - WRITING (Adapted Screenplay)(Won)
BAFTAs - Film | Adapted Screenplay in 2018(Won)","Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Oscars - BEST PICTURE(Nominated)
BAFTAs - Film | Best Film in 2018(Nominated)
BAFTAs - Film | Director in 2018(Nominated)",41512383.0,"5,284","Oct 27, 2017","$3,500,000"
The Disaster Artist,,91.0,85.0,Oscars - WRITING (Adapted Screenplay)(Nominated),1,0,,Oscars - WRITING (Adapted Screenplay)(Nominated),28717667.0,"4,113","Dec 1, 2017","$10,000,000"
"I, Tonya",,90.0,88.0,"Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Won)
Oscars - FILM EDITING(Nominated)
BAFTAs - Film | Costume Design in 2018(Nominated)
BAFTAs - Film | Make Up and Hair in 2018(Nominated)
BAFTAs - Film | Original Screenplay in 2018(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Won)",9,2,"Oscars - ACTRESS IN A SUPPORTING ROLE(Won)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Won)","Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Oscars - FILM EDITING(Nominated)
BAFTAs - Film | Costume Design in 2018(Nominated)
BAFTAs - Film | Make Up and Hair in 2018(Nominated)
BAFTAs - Film | Original Screenplay in 2018(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)",53797409.0,"3,983","Dec 8, 2017","$11,000,000"
Just Getting Started,,4.0,12.0,,0,0,,,,"2,813","Dec 8, 2017","$22,000,000"
Ferdinand,,71.0,52.0,"Oscars - ANIMATED FEATURE FILM(Nominated)
Golden Globes - Best Motion Picture - Animated(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",3,0,,"Oscars - ANIMATED FEATURE FILM(Nominated)
Golden Globes - Best Motion Picture - Animated(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",307491645.0,415,"Dec 8, 2017","$111,000,000"
Beyond Skyline,,67.0,38.0,,0,0,,,,"3,106","Oct 27, 2017","$20,000,000"
The Greatest Showman,,57.0,86.0,"Oscars - MUSIC (Original Song)(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Original Song - Motion Picture(Won)",4,1,Golden Globes - Best Original Song - Motion Picture(Won),"Oscars - MUSIC (Original Song)(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)",428796000.0,675,"Dec 11, 2017","$84,000,000"
Pitch Perfect 3,,28.0,43.0,,0,0,,,185736412.0,"1,497","Dec 21, 2017","$45,000,000"
Downsizing,,47.0,25.0,Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated),1,0,,Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated),54462971.0,948,"Dec 22, 2017","$68,000,000"
The Post,,88.0,74.0,"Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Oscars - BEST PICTURE(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",8,0,,"Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Oscars - BEST PICTURE(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",179769457.0,"1,325","Dec 22, 2017","$50,000,000"
Bright,,26.0,83.0,,0,0,,,,623,"Dec 13, 2017","$90,000,000"
Hostiles,,70.0,76.0,,0,0,,,36976336.0,"1,386","Dec 22, 2017","$50,000,000"
All the Money in the World,,79.0,66.0,Oscars - ACTOR IN A SUPPORTING ROLE(Nominated),1,0,,Oscars - ACTOR IN A SUPPORTING ROLE(Nominated),56890649.0,"1,399","Dec 25, 2017","$50,000,000"
Phantom Thread,,91.0,70.0,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - COSTUME DESIGN(Won)
Oscars - DIRECTING(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - BEST PICTURE(Nominated)
BAFTAs - Film | Costume Design in 2018(Won)
BAFTAs - Film | Original Music in 2018(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",10,2,"Oscars - COSTUME DESIGN(Won)
BAFTAs - Film | Costume Design in 2018(Won)","Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - BEST PICTURE(Nominated)
BAFTAs - Film | Original Music in 2018(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",47454408.0,"1,998","Dec 25, 2017","$35,000,000"
Avengers: Infinity War,,85.0,92.0,"Oscars - VISUAL EFFECTS(Nominated)
BAFTAs - Film | Special Visual Effects in 2019(Nominated)",2,0,,"Oscars - VISUAL EFFECTS(Nominated)
BAFTAs - Film | Special Visual Effects in 2019(Nominated)",2048359754.0,9,"Apr 25, 2018","$300,000,000"
Incredibles 2,,93.0,84.0,"Oscars - ANIMATED FEATURE FILM(Nominated)
BAFTAs - Film | Animated Film in 2019(Nominated)
Golden Globes - Best Motion Picture - Animated(Nominated)",3,0,,"Oscars - ANIMATED FEATURE FILM(Nominated)
BAFTAs - Film | Animated Film in 2019(Nominated)
Golden Globes - Best Motion Picture - Animated(Nominated)",1242805359.0,66,"Jun 15, 2018","$200,000,000"
Jurassic World: Fallen Kingdom,,46.0,48.0,,0,0,,,1308323302.0,175,"Jun 6, 2018","$170,000,000"
Aquaman,,65.0,72.0,,0,0,,,1131849702.0,201,"Dec 6, 2018","$160,000,000"
Deadpool 2,,84.0,85.0,,0,0,,,786362370.0,416,"May 11, 2018","$110,000,000"
Bohemian Rhapsody,,60.0,85.0,"Oscars - ACTOR IN A LEADING ROLE(Won)
Oscars - FILM EDITING(Won)
Oscars - BEST PICTURE(Nominated)
Oscars - SOUND EDITING(Won)
Oscars - SOUND MIXING(Won)
BAFTAs - Film | Cinematography in 2019(Nominated)
BAFTAs - Film | Costume Design in 2019(Nominated)
BAFTAs - Film | Editing in 2019(Nominated)
BAFTAs - Film | Make Up and Hair in 2019(Nominated)
BAFTAs - Film | Outstanding British Film in 2019(Nominated)
BAFTAs - Film | Sound in 2019(Won)
Golden Globes - Best Motion Picture - Drama(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Won)",13,7,"Oscars - ACTOR IN A LEADING ROLE(Won)
Oscars - FILM EDITING(Won)
Oscars - SOUND EDITING(Won)
Oscars - SOUND MIXING(Won)
BAFTAs - Film | Sound in 2019(Won)
Golden Globes - Best Motion Picture - Drama(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Won)","Oscars - BEST PICTURE(Nominated)
BAFTAs - Film | Cinematography in 2019(Nominated)
BAFTAs - Film | Costume Design in 2019(Nominated)
BAFTAs - Film | Editing in 2019(Nominated)
BAFTAs - Film | Make Up and Hair in 2019(Nominated)
BAFTAs - Film | Outstanding British Film in 2019(Nominated)",879088897.0,"1,195","Oct 24, 2018","$55,000,000"
Insidious: The Last Key,,33.0,49.0,,0,0,,,172811971.0,"4,055","Jan 3, 2018","$10,000,000"
The Commuter,,55.0,40.0,,0,0,,,118509836.0,"1,723","Jan 11, 2018","$40,000,000"
Proud Mary,,25.0,45.0,,0,0,,,21709539.0,"2,257","Jan 10, 2018","$30,000,000"
12 Strong,,50.0,62.0,,0,0,,,71118378.0,"1,952","Jan 16, 2018","$35,000,000"
Den of Thieves,,41.0,62.0,,0,0,,,80147166.0,"2,207","Jan 19, 2018","$30,000,000"
Forever My Girl,,24.0,79.0,,0,0,,,,"5,287","Jan 19, 2018","$3,500,000"
Maze Runner: The Death Cure,,42.0,58.0,,0,0,,,265878536.0,"1,038","Jan 17, 2018","$61,000,000"
Winchester,,13.0,32.0,,0,0,,,45960255.0,"5,283","Feb 2, 2018","$3,500,000"
Peter Rabbit,,64.0,56.0,,0,0,,,358117307.0,"1,312","Feb 8, 2018","$50,000,000"
Fifty Shades Freed,,11.0,38.0,,0,0,,,371985018.0,"1,209","Feb 7, 2018","$55,000,000"
The 15:17 to Paris,,23.0,37.0,,0,0,,,56096200.0,"2,228","Feb 9, 2018","$30,000,000"
Game Night,,85.0,78.0,,0,0,,,117378084.0,"1,878","Feb 23, 2018","$37,000,000"
Annihilation,,88.0,67.0,,0,0,,,43070915.0,"1,245","Feb 23, 2018","$55,000,000"
Red Sparrow,,45.0,51.0,,0,0,,,145951861.0,937,"Feb 28, 2018","$69,000,000"
The Strangers: Prey at Night,,40.0,36.0,,0,0,,,32144262.0,"4,917","Mar 9, 2018","$5,000,000"
The Hurricane Heist,,47.0,23.0,,0,0,,,33222314.0,"1,794","Mar 2, 2018","$40,000,000"
"Love, Simon",,92.0,87.0,,0,0,,,65520633.0,"4,068","Mar 16, 2018","$10,000,000"
Sherlock Gnomes,,27.0,36.0,,0,0,,,97459106.0,"1,164","Mar 15, 2018","$59,000,000"
Unsane,,80.0,59.0,,0,0,,,,"5,828","Mar 22, 2018","$1,500,000"
"Paul, Apostle of Christ",,48.0,83.0,,0,0,,,26078500.0,"4,933","Mar 22, 2018","$5,000,000"
Ready Player One,,72.0,77.0,"Oscars - VISUAL EFFECTS(Nominated)
BAFTAs - Film | Special Visual Effects in 2019(Nominated)",2,0,,"Oscars - VISUAL EFFECTS(Nominated)
BAFTAs - Film | Special Visual Effects in 2019(Nominated)",579055653.0,252,"Mar 20, 2018","$150,000,000"
Acrimony,,18.0,60.0,,0,0,,,46627836.0,"2,916","Mar 29, 2018","$20,000,000"
A Quiet Place,,96.0,83.0,"Oscars - SOUND EDITING(Nominated)
BAFTAs - Film | Sound in 2019(Nominated)",2,0,,"Oscars - SOUND EDITING(Nominated)
BAFTAs - Film | Sound in 2019(Nominated)",334876670.0,"3,280","Apr 4, 2018","$17,000,000"
Blockers,,84.0,51.0,,0,0,,,94523781.0,"2,829","Mar 29, 2018","$21,000,000"
Sgt. Stubby: An American Hero,,89.0,92.0,,0,0,,,,"2,657","Apr 13, 2018","$25,000,000"
I Feel Pretty,,35.0,35.0,,0,0,,,91444095.0,"2,099","Apr 20, 2018","$32,000,000"
Super Troopers 2,,35.0,64.0,,0,0,,,31966740.0,"3,705","Apr 20, 2018","$13,500,000"
Book Club,,55.0,51.0,,0,0,,,105953632.0,"4,053","May 18, 2018","$10,000,000"
First Reformed,,94.0,69.0,Oscars - WRITING (Original Screenplay)(Nominated),1,0,,Oscars - WRITING (Original Screenplay)(Nominated),,"5,300","May 18, 2018","$3,500,000"
Show Dogs,,16.0,27.0,,0,0,,,40014998.0,"4,849","May 11, 2018","$5,500,000"
Solo: A Star Wars Story,,69.0,63.0,Oscars - VISUAL EFFECTS(Nominated),1,0,,Oscars - VISUAL EFFECTS(Nominated),393151347.0,8,"May 23, 2018","$330,400,000"
Action Point,,16.0,27.0,,0,0,,,,"3,150","Jun 1, 2018","$19,000,000"
Adrift,,70.0,65.0,,0,0,,,57897191.0,"1,978","Jun 1, 2018","$35,000,000"
Hereditary,,90.0,71.0,,0,0,,,80942650.0,"4,067","Jun 1, 2018","$10,000,000"
Hotel Artemis,,57.0,35.0,,0,0,,,,"3,571","Jun 7, 2018","$15,000,000"
Sicario: Day of the Soldado,,62.0,65.0,,0,0,,,76346094.0,"1,947","Jun 25, 2018","$35,000,000"
Uncle Drew,,61.0,48.0,,0,0,,,46594261.0,"3,189","Jun 27, 2018","$18,000,000"
Woman Walks Ahead,,59.0,61.0,,0,0,,,,"3,936","Jun 29, 2018","$12,000,000"
The First Purge,,56.0,27.0,,0,0,,,137054597.0,"3,721","Jul 4, 2018","$13,000,000"
Sorry to Bother You,,93.0,70.0,,0,0,,,18285560.0,"5,351","Jul 6, 2018","$3,200,000"
Hotel Transylvania 3: Summer Vacation,,62.0,49.0,,0,0,,,527361714.0,968,"Jun 22, 2018","$65,000,000"
Eighth Grade,,99.0,82.0,Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated),1,0,,Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated),,"5,633","Jul 13, 2018","$2,000,000"
The Equalizer 2,,52.0,61.0,,0,0,,,190376181.0,783,"Jul 18, 2018","$77,000,000"
Christopher Robin,,72.0,83.0,Oscars - VISUAL EFFECTS(Nominated),1,0,,Oscars - VISUAL EFFECTS(Nominated),197744377.0,810,"Aug 3, 2018","$75,000,000"
The Darkest Minds,,15.0,71.0,,0,0,,,38361428.0,"2,060","Aug 3, 2018","$34,000,000"
The Spy Who Dumped Me,,49.0,58.0,,0,0,,,78998245.0,"1,728","Aug 1, 2018","$40,000,000"
Dog Days,,49.0,69.0,,0,0,,,,"4,175","Aug 8, 2018","$10,000,000"
The Meg,,47.0,44.0,,0,0,,,527267828.0,153,"Aug 9, 2018","$178,000,000"
BlacKkKlansman,,96.0,83.0,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Adapted Screenplay)(Won)
BAFTAs - Film | Adapted Screenplay in 2019(Won)
BAFTAs - Film | Best Film in 2019(Nominated)
BAFTAs - Film | Director in 2019(Nominated)
BAFTAs - Film | Original Music in 2019(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)",14,2,"Oscars - WRITING (Adapted Screenplay)(Won)
BAFTAs - Film | Adapted Screenplay in 2019(Won)","Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - BEST PICTURE(Nominated)
BAFTAs - Film | Best Film in 2019(Nominated)
BAFTAs - Film | Director in 2019(Nominated)
BAFTAs - Film | Original Music in 2019(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)",93411426.0,"3,465","Aug 9, 2018","$15,000,000"
Slender Man,,8.0,16.0,,0,0,,,51945949.0,"4,092","May 18, 2018","$10,000,000"
Crazy Rich Asians,,91.0,76.0,"Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)",2,0,,"Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)",237814149.0,"2,140","Aug 15, 2018","$30,000,000"
Mile 22,,23.0,44.0,,0,0,,,66295121.0,"1,967","Aug 17, 2018","$35,000,000"
"Juliet, Naked",,82.0,74.0,,0,0,,,,"4,781","Aug 17, 2018","$6,000,000"
Down a Dark Hall,,48.0,20.0,,0,0,,,,"5,235","Aug 1, 2018","$4,000,000"
The Happytime Murders,,23.0,40.0,,0,0,,,27506412.0,"1,762","Aug 24, 2018","$40,000,000"
Operation Finale,,61.0,67.0,,0,0,,,,"2,991","Aug 29, 2018","$20,000,000"
The Nun,,86.0,80.0,,0,0,,,362900037.0,"2,774","Jul 27, 2018","$22,000,000"
The Predator,,34.0,32.0,,0,0,,,159487563.0,627,"Sep 11, 2018","$88,000,000"
White Boy Rick,,57.0,50.0,,0,0,,,25947983.0,"2,248","Sep 14, 2018","$30,000,000"
A Simple Favor,,84.0,73.0,,0,0,,,97628717.0,"2,902","Sep 12, 2018","$20,000,000"
Unbroken: Path to Redemption,,38.0,73.0,,0,0,,,,"4,771","Sep 14, 2018","$6,000,000"
Life Itself,,98.0,88.0,,0,0,,,,"4,196","Sep 21, 2018","$10,000,000"
The Sisters Brothers,,87.0,69.0,,0,0,,,,"1,866","Sep 21, 2018","$38,000,000"
Assassination Nation,,74.0,55.0,,0,0,,,,"4,632","Sep 21, 2018","$7,000,000"
Fahrenheit 11/9,,82.0,60.0,,0,0,,,,"4,971","Sep 21, 2018","$5,000,000"
Smallfoot,,76.0,62.0,,0,0,,,214244195.0,722,"Sep 21, 2018","$80,000,000"
Hell Fest,,39.0,41.0,,0,0,,,18294883.0,"4,851","Sep 27, 2018","$5,500,000"
First Man,,87.0,68.0,"Oscars - PRODUCTION DESIGN(Nominated)
Oscars - SOUND EDITING(Nominated)
Oscars - SOUND MIXING(Nominated)
Oscars - VISUAL EFFECTS(Won)
BAFTAs - Film | Adapted Screenplay in 2019(Nominated)
BAFTAs - Film | Cinematography in 2019(Nominated)
BAFTAs - Film | Editing in 2019(Nominated)
BAFTAs - Film | Production Design in 2019(Nominated)
BAFTAs - Film | Sound in 2019(Nominated)
BAFTAs - Film | Special Visual Effects in 2019(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Won)",12,2,"Oscars - VISUAL EFFECTS(Won)
Golden Globes - Best Original Score - Motion Picture(Won)","Oscars - PRODUCTION DESIGN(Nominated)
Oscars - SOUND EDITING(Nominated)
Oscars - SOUND MIXING(Nominated)
BAFTAs - Film | Adapted Screenplay in 2019(Nominated)
BAFTAs - Film | Cinematography in 2019(Nominated)
BAFTAs - Film | Editing in 2019(Nominated)
BAFTAs - Film | Production Design in 2019(Nominated)
BAFTAs - Film | Sound in 2019(Nominated)
BAFTAs - Film | Special Visual Effects in 2019(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)",105523737.0,"1,106","Oct 10, 2018","$60,000,000"
Bad Times at the El Royale,,75.0,75.0,,0,0,,,31178942.0,"2,111","Sep 27, 2018","$32,000,000"
Goosebumps 2: Haunted Halloween,,48.0,37.0,,0,0,,,93006429.0,"1,951","Oct 10, 2018","$35,000,000"
The Hate U Give,,97.0,81.0,,0,0,,,35067665.0,"2,739","Oct 5, 2018","$23,000,000"
Can You Ever Forgive Me?,,98.0,81.0,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Oscars - WRITING (Adapted Screenplay)(Nominated)
BAFTAs - Film | Adapted Screenplay in 2019(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)",6,0,,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Oscars - WRITING (Adapted Screenplay)(Nominated)
BAFTAs - Film | Adapted Screenplay in 2019(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)",,"4,162","Oct 19, 2018","$10,000,000"
Mid90s,,81.0,81.0,,0,0,,,,"5,504","Oct 19, 2018","$2,800,000"
Hunter Killer,,38.0,67.0,,0,0,,,29312121.0,"1,772","Oct 19, 2018","$40,000,000"
Johnny English Strikes Again,,36.0,50.0,,0,0,,,159369278.0,"2,310","Sep 13, 2018","$30,000,000"
The Nutcracker and the Four Realms,,32.0,35.0,,0,0,,,170024300.0,322,"Oct 31, 2018","$132,900,000"
Boy Erased,,80.0,74.0,"Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",2,0,,"Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",,"4,001","Nov 2, 2018","$11,000,000"
Fantastic Beasts: The Crimes of Grindelwald,,36.0,54.0,"BAFTAs - Film | Production Design in 2019(Nominated)
BAFTAs - Film | Special Visual Effects in 2019(Nominated)",2,0,,"BAFTAs - Film | Production Design in 2019(Nominated)
BAFTAs - Film | Special Visual Effects in 2019(Nominated)",,92,"Nov 14, 2018","$200,000,000"
Green Book,,77.0,91.0,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE(Won)
Oscars - FILM EDITING(Nominated)
Oscars - BEST PICTURE(Won)
Oscars - WRITING (Original Screenplay)(Won)
BAFTAs - Film | Best Film in 2019(Nominated)
BAFTAs - Film | Original Screenplay in 2019(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Won)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Won)",12,6,"Oscars - ACTOR IN A SUPPORTING ROLE(Won)
Oscars - BEST PICTURE(Won)
Oscars - WRITING (Original Screenplay)(Won)
Golden Globes - Best Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Won)
Golden Globes - Best Screenplay - Motion Picture(Won)","Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - FILM EDITING(Nominated)
BAFTAs - Film | Best Film in 2019(Nominated)
BAFTAs - Film | Original Screenplay in 2019(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)",319995019.0,"2,730","Nov 16, 2018","$23,000,000"
Instant Family,,82.0,83.0,,0,0,,,119736188.0,"1,455","Nov 16, 2018","$48,000,000"
Creed II,,83.0,80.0,,0,0,,,213591522.0,"1,311","Nov 21, 2018","$50,000,000"
Roma,,96.0,72.0,"Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - CINEMATOGRAPHY(Won)
Oscars - DIRECTING(Won)
Oscars - FOREIGN LANGUAGE FILM(Won)
Oscars - BEST PICTURE(Nominated)
Oscars - PRODUCTION DESIGN(Nominated)
Oscars - SOUND EDITING(Nominated)
Oscars - SOUND MIXING(Nominated)
Oscars - WRITING (Original Screenplay)(Nominated)
BAFTAs - Film | Best Film in 2019(Won)
BAFTAs - Film | Cinematography in 2019(Won)
BAFTAs - Film | Director in 2019(Won)
BAFTAs - Film | Editing in 2019(Nominated)
BAFTAs - Film | Film Not in the English Language in 2019(Won)
BAFTAs - Film | Original Screenplay in 2019(Nominated)
BAFTAs - Film | Production Design in 2019(Nominated)
Golden Globes - Best Director - Motion Picture(Won)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",19,8,"Oscars - CINEMATOGRAPHY(Won)
Oscars - DIRECTING(Won)
Oscars - FOREIGN LANGUAGE FILM(Won)
BAFTAs - Film | Best Film in 2019(Won)
BAFTAs - Film | Cinematography in 2019(Won)
BAFTAs - Film | Director in 2019(Won)
BAFTAs - Film | Film Not in the English Language in 2019(Won)
Golden Globes - Best Director - Motion Picture(Won)","Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - PRODUCTION DESIGN(Nominated)
Oscars - SOUND EDITING(Nominated)
Oscars - SOUND MIXING(Nominated)
Oscars - WRITING (Original Screenplay)(Nominated)
BAFTAs - Film | Editing in 2019(Nominated)
BAFTAs - Film | Original Screenplay in 2019(Nominated)
BAFTAs - Film | Production Design in 2019(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",,"3,620","Nov 30, 2018","$15,000,000"
The Favourite,,93.0,70.0,"Oscars - ACTRESS IN A LEADING ROLE(Won)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - PRODUCTION DESIGN(Nominated)
Oscars - WRITING (Original Screenplay)(Nominated)
BAFTAs - Film | Best Film in 2019(Nominated)
BAFTAs - Film | Cinematography in 2019(Nominated)
BAFTAs - Film | Costume Design in 2019(Won)
BAFTAs - Film | Director in 2019(Nominated)
BAFTAs - Film | Editing in 2019(Nominated)
BAFTAs - Film | Make Up and Hair in 2019(Won)
BAFTAs - Film | Original Screenplay in 2019(Won)
BAFTAs - Film | Outstanding British Film in 2019(Won)
BAFTAs - Film | Production Design in 2019(Won)",19,6,"Oscars - ACTRESS IN A LEADING ROLE(Won)
BAFTAs - Film | Costume Design in 2019(Won)
BAFTAs - Film | Make Up and Hair in 2019(Won)
BAFTAs - Film | Original Screenplay in 2019(Won)
BAFTAs - Film | Outstanding British Film in 2019(Won)
BAFTAs - Film | Production Design in 2019(Won)","Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - PRODUCTION DESIGN(Nominated)
Oscars - WRITING (Original Screenplay)(Nominated)
BAFTAs - Film | Best Film in 2019(Nominated)
BAFTAs - Film | Cinematography in 2019(Nominated)
BAFTAs - Film | Director in 2019(Nominated)
BAFTAs - Film | Editing in 2019(Nominated)",95829459.0,"3,484","Nov 23, 2018","$15,000,000"
The Possession of Hannah Grace,,21.0,28.0,,0,0,,,42873730.0,"4,751","Nov 28, 2018","$6,000,000"
