title,critic_score,audience_score
The Organization,25.0,29.0
Play Misty for Me,85.0,71.0
The Todd Killings,,
A Dangerous Friend,,
T.R. Baskin,0.0,
The Last Picture Show,98.0,89.0
Big Boss,,48.0
Joe Hill,50.0,89.0
Bleak Moments,,70.0
Captain Apache,,35.0
A Fistful of Dynamite,92.0,83.0
"I, Monster",,40.0
Fiddler on the Roof,81.0,92.0
Black Noon,,
Hannie Caulder,60.0,54.0
Jennifer on My Mind,,0.0
Mon Oncle Antoine,,77.0
Who Killed Mary What's 'er Name?,,
Duel,,
The Christian Licorice Store,,
Black Beauty,,
Man in the Wilderness,,71.0
Bleak Moments,,70.0
Brian's Song,,77.0
The Day of the Wolves,,75.0
Born to Win,29.0,35.0
Chandler,,5.0
Family Life,,60.0
Believe in Me,60.0,74.0
Gumshoe,88.0,54.0
"Happy Birthday, Wanda June",,75.0
The Decameron,79.0,75.0
Made for Each Other,,56.0
Bedknobs and Broomsticks,67.0,74.0
The Hospital,100.0,73.0
The Hospital,100.0,73.0
There's Always Vanilla,,26.0
The Boy Friend,,
The Boy Friend,88.0,68.0
Lady and the Tramp,93.0,80.0
Mary Queen of Scots,62.0,41.0
Sometimes a Great Notion,100.0,77.0
Harold and Maude,86.0,93.0
Macbeth,,
Such Good Friends,,33.0
The Gang That Couldn't Shoot Straight,20.0,26.0
Minnie and Moskowitz,82.0,85.0
Star Spangled Girl,,62.0
Bad Man's River,,21.0
Dirty Harry,89.0,90.0
Straw Dogs,82.0,82.0
Diamonds Are Forever,64.0,57.0
The Godfather,97.0,98.0
The Godfather,97.0,98.0
"What's Up, Doc?",89.0,88.0
Deliverance,89.0,82.0
Jeremiah Johnson,91.0,89.0
Cabaret,92.0,87.0
The Getaway,,
Getaway,3.0,36.0
Last Tango in Paris,82.0,75.0
Lady Sings the Blues,71.0,86.0
Glass Houses,,
The Cowboys,75.0,88.0
The Cowboys,75.0,88.0
Cisco Pike,100.0,62.0
To Find a Man,,
"X, Y & Zee",29.0,35.0
The Hot Rock,78.0,69.0
Cabaret,92.0,87.0
Pocket Money,50.0,31.0
The New Land,100.0,86.0
New Land,,
Frogs,28.0,24.0
Silent Running,71.0,66.0
"What's Up, Doc?",89.0,88.0
Godzilla vs. Gigan,67.0,48.0
The Godfather,97.0,98.0
The Godfather,97.0,98.0
Corky,,
