title,critic_score,audience_score
Rush Hour 2,50.0,74.0
All Over the Guy,43.0,67.0
American Pie 2,51.0,68.0
Osmosis Jones,55.0,42.0
The Others,,
Others,,
Dinner With Friends,90.0,46.0
American Outlaws,13.0,67.0
Captain Corelli's Mandolin,28.0,50.0
Rat Race,45.0,64.0
Bubble Boy,31.0,48.0
The Curse of the Jade Scorpion,45.0,53.0
Happy Accidents,70.0,75.0
Jay and Silent Bob Strike Back,52.0,75.0
Summer Catch,8.0,41.0
Jeepers Creepers,45.0,49.0
O,65.0,58.0
Megiddo,10.0,45.0
The Musketeer,11.0,33.0
Rock Star,53.0,59.0
Soul Survivors,4.0,26.0
Two Can Play That Game,40.0,83.0
The Glass House,,100.0
The Glass House,22.0,39.0
Hardball,41.0,70.0
Glitter,6.0,48.0
Born Romantic,58.0,55.0
Dinner Rush,91.0,85.0
Don't Say a Word,24.0,49.0
Hearts in Atlantis,49.0,64.0
Zoolander,65.0,80.0
Joy Ride,74.0,66.0
Max Keeble's Big Move,29.0,38.0
Serendipity,59.0,79.0
Training Day,74.0,89.0
Scooby-Doo and the Cyber Chase,60.0,66.0
Bandits,64.0,58.0
Corky Romano,7.0,39.0
Iron Monkey,,33.0
My First Mister,53.0,75.0
From Hell,57.0,66.0
The Last Castle,52.0,74.0
Riding in Cars With Boys,49.0,66.0
Waking Life,81.0,87.0
Donnie Darko,87.0,80.0
K-PAX,42.0,74.0
On the Line,,
Thirteen Ghosts,19.0,49.0
Bones,26.0,40.0
Wasabi,43.0,69.0
Domestic Disturbance,23.0,37.0
The Man Who Wasn't There,81.0,85.0
"Monsters, Inc.",96.0,90.0
The One,13.0,51.0
One,,
Mickey's Magical Christmas: Snowed In at the House of Mouse,,62.0
Heist,,
Life as a House,47.0,88.0
Maze,39.0,44.0
Shallow Hal,49.0,45.0
Harry Potter and the Sorcerer's Stone,81.0,82.0
Novocaine,38.0,37.0
The Wash,,
Black Knight,15.0,34.0
Out Cold,8.0,84.0
Spy Game,64.0,75.0
In the Bedroom,93.0,81.0
The Affair of the Necklace,15.0,42.0
Behind Enemy Lines,,29.0
Texas Rangers,2.0,29.0
Beethoven's 4th,0.0,28.0
Pokémon: Mewtwo Returns,0.0,60.0
No Man's Land,93.0,92.0
Ocean's Eleven,83.0,80.0
The Day Reagan Was Shot,60.0,70.0
Iris,,
Not Another Teen Movie,31.0,55.0
The Royal Tenenbaums,81.0,89.0
The Royal Tenenbaums,81.0,89.0
The Other Side of Heaven,30.0,74.0
The Other Side of Heaven,30.0,74.0
Vanilla Sky,43.0,72.0
The Shipping News,54.0,61.0
The Lord of the Rings: The Fellowship of the Ring,92.0,95.0
The Lord of the Rings: The Fellowship of the Ring,92.0,95.0
A Beautiful Mind,74.0,93.0
The Business of Strangers,81.0,51.0
How High,25.0,79.0
Jimmy Neutron: Boy Genius,74.0,53.0
Joe Somebody,21.0,27.0
The Majestic,42.0,60.0
The Majestic,42.0,60.0
"Momo, the Conquest of Time",,77.0
Ali,68.0,65.0
Kate & Leopold,52.0,62.0
Gosford Park,87.0,78.0
Monster's Ball,85.0,67.0
I Am Sam,36.0,86.0
Black Hawk Down,77.0,88.0
Charlotte Gray,33.0,62.0
Spider-Man,90.0,67.0
The Lord of the Rings: The Two Towers,95.0,95.0
The Lord of the Rings: The Two Towers,95.0,95.0
Star Wars: Episode II - Attack of the Clones,65.0,56.0
Harry Potter and the Chamber of Secrets,82.0,80.0
My Big Fat Greek Wedding,76.0,73.0
Signs,75.0,67.0
Austin Powers in Goldmember,53.0,44.0
Men in Black II,38.0,45.0
Ice Age,77.0,82.0
Chicago,86.0,83.0
Impostor,25.0,41.0
Orange County,47.0,61.0
Snow Dogs,26.0,40.0
State Property,0.0,73.0
The Count of Monte-Cristo,,
The Mothman Prophecies,52.0,56.0
Storytelling,54.0,67.0
A Walk to Remember,29.0,78.0
Birthday Girl,59.0,39.0
Slackers,10.0,50.0
Big Fat Liar,46.0,44.0
Rollerball,67.0,62.0
Crossroads,,
Hart's War,60.0,48.0
John Q,26.0,78.0
Return to Never Land,45.0,39.0
Super Troopers,36.0,90.0
Big Bad Love,42.0,70.0
Dragonfly,7.0,62.0
Queen of the Damned,17.0,66.0
Cinderella II: Dreams Come True,11.0,32.0
40 Days and 40 Nights,39.0,43.0
We Were Soldiers,64.0,84.0
All About the Benjamins,31.0,77.0
The Time Machine,,43.0
The Laramie Project,92.0,80.0
The Laramie Project,92.0,80.0
Kissing Jessica Stein,83.0,65.0
Harrison's Flowers,49.0,76.0
Ice Age,77.0,82.0
Resident Evil,36.0,67.0
Showtime,,
The Hunchback of Notre Dame II,22.0,27.0
The Hunchback of Notre Dame II,22.0,27.0
Blade II,57.0,68.0
E.T. the Extra-Terrestrial,99.0,72.0
Sorority Boys,12.0,54.0
Stolen Summer,36.0,66.0
Clockstoppers,29.0,30.0
Death to Smoochy,42.0,66.0
No Such Thing,31.0,59.0
Panic Room,76.0,64.0
The Rookie,84.0,70.0
Big Trouble,14.0,25.0
High Crimes,31.0,50.0
National Lampoon's Van Wilder,18.0,73.0
The Cat's Meow,76.0,52.0
Changing Lanes,78.0,53.0
Frailty,75.0,79.0
New Best Friend,5.0,38.0
The Sweetest Thing,26.0,65.0
Murder by Numbers,,
My Big Fat Greek Wedding,76.0,73.0
The Scorpion King,41.0,37.0
Jason X,20.0,25.0
Life or Something Like It,28.0,44.0
The Salton Sea,63.0,82.0
Deuces Wild,3.0,51.0
Hollywood Ending,47.0,49.0
Spider-Man,90.0,67.0
The Lady and the Duke,72.0,68.0
New Guy,63.0,42.0
Ultimate X: The Movie,72.0,43.0
Unfaithful,50.0,68.0
Star Wars: Episode II - Attack of the Clones,65.0,56.0
About a Boy,93.0,55.0
The Believer,82.0,82.0
The Believer,82.0,82.0
The Importance of Being Earnest,57.0,72.0
Path to War,100.0,74.0
CQ,66.0,69.0
Enough,,
Insomnia,,
Spirit: Stallion of the Cimarron,69.0,77.0
Thirteen Conversations About One Thing,83.0,71.0
The Sum of All Fears,59.0,49.0
Undercover Brother,78.0,64.0
Bad Company,,
Divine Secrets of the Ya-Ya Sisterhood,44.0,65.0
Ivans Xtc,78.0,74.0
The Bourne Identity,84.0,93.0
The Dangerous Lives of Altar Boys,76.0,79.0
Windtalkers,33.0,50.0
Air Bud: Seventh Inning Fetch,,50.0
Juwanna Mann,10.0,39.0
Lilo & Stitch,87.0,78.0
Minority Report,89.0,80.0
Sunshine State,80.0,58.0
Point of Origin,,47.0
The First $20 Million Is Always the Hardest,11.0,49.0
Hey Arnold! The Movie,29.0,37.0
Mr. Deeds,22.0,59.0
Pumpkin,36.0,57.0
Like Mike,57.0,51.0
Men in Black II,38.0,45.0
The Powerpuff Girls Movie,64.0,60.0
The Crocodile Hunter: Collision Course,53.0,44.0
The Crocodile Hunter: Collision Course,53.0,44.0
Halloween: Resurrection,10.0,24.0
Reign of Fire,42.0,49.0
Road to Perdition,81.0,86.0
Eight Legged Freaks,48.0,33.0
K-19: The Widowmaker,60.0,52.0
Stuart Little 2,81.0,41.0
Tarzan & Jane,17.0,30.0
Austin Powers in Goldmember,53.0,44.0
The Country Bears,29.0,34.0
Who Is Cletis Tout?,23.0,51.0
Full Frontal,39.0,27.0
Martin Lawrence Live: Runteldat,39.0,68.0
The Master of Disguise,1.0,36.0
Signs,75.0,67.0
Tadpole,77.0,57.0
The Adventures of Tom Thumb & Thumbelina,,39.0
The Adventures of Tom Thumb & Thumbelina,,39.0
The Good Girl,82.0,59.0
24 Hour Party People,87.0,87.0
Blood Work,52.0,40.0
XXX,48.0,58.0
The Adventures of Pluto Nash,5.0,20.0
The Adventures of Pluto Nash,5.0,20.0
The Princess and the Pea,,
The Princess and the Pea,,60.0
Blue Crush,61.0,58.0
The Kid Stays in the Picture,91.0,80.0
Possession,63.0,58.0
Kermit's Swamp Years: The Real Story Behind Kermit the Frog's Early Years,,36.0
Hysterical Blindness,75.0,63.0
One Hour Photo,81.0,65.0
Serving Sara,4.0,27.0
Undisputed,49.0,46.0
Mickey's House of Villains,,52.0
City by the Sea,48.0,40.0
Swimfan,15.0,32.0
Barbershop,82.0,62.0
Igby Goes Down,75.0,80.0
Stealing Harvard,9.0,39.0
Ballistic: Ecks vs. Sever,0.0,20.0
The Banger Sisters,48.0,42.0
Four Feathers,,100.0
The Four Feathers,42.0,65.0
Secretary,78.0,82.0
Spirited Away,96.0,96.0
Trapped,,
Just a Kiss,18.0,28.0
Sweet Home Alabama,38.0,78.0
The Tuxedo,21.0,30.0
Jonah: A VeggieTales Movie,66.0,75.0
Moonlight Mile,63.0,66.0
Red Dragon,69.0,74.0
Bowling for Columbine,95.0,83.0
Brown Sugar,67.0,90.0
Knockaround Guys,21.0,51.0
Pinocchio,0.0,33.0
The Rules of Attraction,44.0,71.0
Swept Away... by an Unusual Destiny in the Blue Sea of August,59.0,80.0
The Transporter,54.0,73.0
Tuck Everlasting,60.0,70.0
White Oleander,69.0,81.0
Abandon,16.0,31.0
Auto Focus,72.0,61.0
The 51st State,25.0,59.0
Real Women Have Curves,85.0,75.0
The Ring,71.0,48.0
The Ring,71.0,48.0
Welcome to Collinwood,55.0,55.0
Frida,76.0,85.0
Ghost Ship,15.0,37.0
Jackass: The Movie,49.0,75.0
The Truth About Charlie,34.0,27.0
The Truth About Charlie,34.0,27.0
Punch-Drunk Love,79.0,77.0
The Santa Clause 2,56.0,43.0
The Santa Clause 2,56.0,43.0
I Spy,15.0,33.0
Femme Fatale,,38.0
8 Mile,75.0,54.0
Far From Heaven,87.0,79.0
Half Past Dead,3.0,37.0
Harry Potter and the Chamber of Secrets,82.0,80.0
Die Another Day,55.0,41.0
The Emperor's Club,50.0,67.0
Friday After Next,26.0,75.0
Extreme Ops,7.0,28.0
Personal Velocity: Three Portraits,69.0,61.0
Solaris,66.0,59.0
They,67.0,38.0
Treasure Planet,69.0,72.0
Adaptation,,
Analyze That,26.0,39.0
Equilibrium,40.0,81.0
Live From Baghdad,78.0,84.0
About Schmidt,85.0,74.0
Drumline,82.0,70.0
Evelyn,64.0,78.0
The Hot Chick,21.0,59.0
Maid in Manhattan,38.0,44.0
Star Trek: Nemesis,38.0,49.0
The Lord of the Rings: The Two Towers,95.0,95.0
The Lord of the Rings: The Two Towers,95.0,95.0
25th Hour,79.0,85.0
Antwone Fisher,78.0,86.0
Gangs of New York,73.0,81.0
Narc,84.0,79.0
Two Weeks Notice,42.0,59.0
The Wild Thornberrys Movie,80.0,51.0
Catch Me if You Can,96.0,89.0
The Pianist,,33.0
The Pianist,95.0,96.0
Talk to Her,91.0,93.0
Chicago,86.0,83.0
The Hours,80.0,84.0
Nicholas Nickleby,,
Sonny,21.0,41.0
Confessions of a Dangerous Mind,80.0,75.0
The Lord of the Rings: The Return of the King,94.0,86.0
The Lord of the Rings: The Return of the King,94.0,86.0
Finding Nemo,99.0,86.0
Pirates of the Caribbean: The Curse of the Black Pearl,80.0,86.0
The Matrix Reloaded,73.0,72.0
The Matrix Reloaded,73.0,72.0
Bruce Almighty,48.0,57.0
X2,85.0,85.0
Elf,86.0,79.0
Terminator 3: Rise of the Machines,70.0,46.0
The Matrix Revolutions,34.0,60.0
The Matrix Revolutions,34.0,60.0
Cheaper by the Dozen,24.0,56.0
Just Married,20.0,47.0
City of God,91.0,97.0
Divine Intervention,,
A Guy Thing,25.0,35.0
Kangaroo Jack,9.0,29.0
National Security,11.0,45.0
101 Dalmatians II: Patch's London Adventure,67.0,42.0
Amen,67.0,82.0
Blind Spot: Hitler's Secretary,86.0,72.0
Darkness Falls,10.0,34.0
Super Sucker,29.0,41.0
Biker Boyz,22.0,54.0
Final Destination 2,50.0,58.0
Guru,85.0,84.0
Lost in La Mancha,94.0,77.0
The Recruit,43.0,58.0
Deliver Us From Eva,43.0,76.0
How to Lose a Guy in 10 Days,42.0,77.0
Shanghai Knights,66.0,54.0
Daredevil,43.0,35.0
The Jungle Book,,
The Jungle Book 2,18.0,30.0
Dark Blue,58.0,52.0
Gods and Generals,8.0,64.0
The Life of David Gale,19.0,81.0
The Life of David Gale,19.0,81.0
Old School,60.0,86.0
Cradle 2 the Grave,26.0,52.0
Poolhall Junkies,33.0,87.0
Scooby-Doo! And the Legend of the Vampire,,61.0
Bringing Down the House,34.0,49.0
Tears of the Sun,34.0,69.0
Inspector Gadget 2,40.0,23.0
Agent Cody Banks,38.0,32.0
Bend It Like Beckham,85.0,73.0
Hunted,,62.0
Hunted,,
Willard,64.0,51.0
Normal,100.0,76.0
Charlotte's Web 2: Wilbur's Great Adventure,,46.0
Boat Trip,7.0,36.0
Dreamcatcher,28.0,35.0
Piglet's Big Movie,70.0,64.0
View From the Top,14.0,34.0
Assassination Tango,47.0,33.0
Basic,21.0,62.0
Blue Collar Comedy Tour: The Movie,92.0,79.0
The Core,39.0,34.0
Head of State,30.0,46.0
Phone Booth,72.0,64.0
What a Girl Wants,36.0,62.0
Eddie Griffin: Dysfunktional Family,43.0,77.0
Anger Management,,
House of 1000 Corpses,22.0,65.0
Bulletproof Monk,23.0,38.0
Chasing Papi,14.0,40.0
A Mighty Wind,87.0,75.0
Holes,78.0,76.0
Malibu's Most Wanted,31.0,54.0
Confidence,69.0,70.0
The Good Thief,77.0,62.0
Identity,63.0,75.0
It Runs in the Family,29.0,29.0
The Real Cancun,34.0,30.0
The Dancer Upstairs,64.0,76.0
The Lizzie McGuire Movie,40.0,49.0
Marooned in Iraq,93.0,82.0
Owning Mahowny,78.0,75.0
X2,85.0,85.0
Daddy Day Care,27.0,48.0
The Man on the Train,92.0,79.0
The Man on the Train,92.0,79.0
The Shape of Things,64.0,65.0
The Matrix Reloaded,73.0,72.0
The Matrix Reloaded,73.0,72.0
Down With Love,60.0,62.0
The Spanish Apartment,76.0,86.0
Sweet Sixteen,97.0,88.0
Bruce Almighty,48.0,57.0
The In-Laws,90.0,83.0
The In-Laws,33.0,40.0
My House in Umbria,50.0,66.0
Finding Nemo,99.0,86.0
The Italian Job,72.0,80.0
Wrong Turn,41.0,54.0
The Animatrix,89.0,78.0
The Animatrix,89.0,78.0
2 Fast 2 Furious,37.0,50.0
The Eye,64.0,72.0
Love the Hard Way,28.0,66.0
Whale Rider,91.0,88.0
Dumb and Dumberer: When Harry Met Lloyd,10.0,23.0
The Heart of Me,50.0,61.0
The Heart of Me,50.0,61.0
Hollywood Homicide,30.0,27.0
Rugrats Go Wild,40.0,39.0
Alex & Emma,11.0,41.0
From Justin to Kelly,8.0,39.0
Hulk,63.0,29.0
Suriyothai,51.0,62.0
Suriyothai,51.0,62.0
28 Days Later,87.0,85.0
Charlie's Angels: Full Throttle,41.0,40.0
On-Line,38.0,30.0
The Room,24.0,47.0
Gasoline,40.0,21.0
"Legally Blonde 2: Red, White & Blonde",36.0,39.0
Sinbad: Legend of the Seven Seas,45.0,57.0
Swimming Pool,83.0,67.0
Terminator 3: Rise of the Machines,70.0,46.0
Pirates of the Caribbean: The Curse of the Black Pearl,80.0,86.0
Simhadri,,
Cuckoo,10.0,8.0
The Cuckoo,87.0,89.0
The Holy Land,52.0,78.0
The Housekeeper,78.0,42.0
I Capture the Castle,78.0,76.0
The League of Extraordinary Gentlemen,17.0,44.0
Northfork,57.0,66.0
Bad Boys II,24.0,78.0
How to Deal,27.0,64.0
Johnny English,33.0,51.0
Dirty Pretty Things,94.0,82.0
Masked and Anonymous,25.0,45.0
Lara Croft Tomb Raider: The Cradle of Life,24.0,44.0
Seabiscuit,78.0,76.0
Spy Kids 3: Game Over,45.0,25.0
American Wedding,53.0,63.0
And Now... Ladies and Gentlemen,47.0,56.0
Gigli,6.0,14.0
The Magdalene Sisters,91.0,89.0
The Secret Lives of Dentists,85.0,58.0
The Secret Lives of Dentists,85.0,58.0
Freaky Friday,88.0,58.0
Seaside,75.0,12.0
The Princess Blade,57.0,54.0
Step Into Liquid,80.0,92.0
S.W.A.T.,48.0,52.0
American Splendor,94.0,86.0
Freddy vs. Jason,42.0,50.0
Grind,,72.0
Open Range,79.0,84.0
Passionada,57.0,54.0
Uptown Girls,13.0,61.0
Thirteen,81.0,77.0
The Battle of Shaker Heights,39.0,48.0
Marci X,8.0,29.0
My Boss's Daughter,8.0,23.0
Stoked: The Rise and Fall of Gator,81.0,75.0
Stitch! The Movie,20.0,50.0
Jeepers Creepers 2,24.0,37.0
Once Upon a Time in the Midlands,51.0,45.0
Avenging Angelo,13.0,33.0
Dickie Roberts: Former Child Star,22.0,46.0
The Order,13.0,28.0
The Order,10.0,38.0
Party Monster,29.0,75.0
And Starring Pancho Villa as Himself,,53.0
Cabin Fever,,
Matchstick Men,83.0,74.0
Lost in Translation,95.0,85.0
Once Upon a Time in Mexico,66.0,64.0
Anything Else,40.0,44.0
Cold Creek Manor,12.0,23.0
The Fighting Temptations,42.0,66.0
Secondhand Lions,60.0,84.0
Underworld,31.0,79.0
Duplex,35.0,40.0
The Rundown,70.0,66.0
The Rundown,70.0,66.0
Under the Tuscan Sun,62.0,78.0
Scooby Doo and the Monster of Mexico,,51.0
Out of Time,64.0,58.0
The School of Rock,92.0,64.0
Wonderland,34.0,65.0
Good Boy,,
Intolerable Cruelty,76.0,48.0
Mystic River,89.0,89.0
Pieces of April,84.0,73.0
Runaway Jury,73.0,75.0
The Texas Chainsaw Massacre,37.0,58.0
Veronica Guerin,53.0,69.0
In the Cut,34.0,34.0
Beyond Borders,14.0,72.0
Radio,35.0,79.0
Scary Movie 3,35.0,54.0
The Singing Detective,39.0,40.0
Alien,93.0,94.0
The Human Stain,42.0,48.0
Shattered Glass,92.0,79.0
Brother Bear,37.0,66.0
The Matrix Revolutions,34.0,60.0
The Matrix Revolutions,34.0,60.0
Elf,86.0,79.0
Love Actually,64.0,72.0
The Big Empty,,
Looney Tunes: Back in Action,57.0,50.0
Master and Commander: The Far Side of the World,85.0,80.0
Tupac: Resurrection,78.0,90.0
21 Grams,81.0,86.0
Dr. Seuss' The Cat in the Hat,10.0,57.0
Gothika,15.0,45.0
Bad Santa,78.0,75.0
The Cooler,77.0,69.0
The Haunted Mansion,13.0,31.0
In America,90.0,91.0
The Missing,,58.0
Missing,,56.0
Timeline,13.0,45.0
Kim Possible: A Sitch in Time,,69.0
Beethoven's 5th,,32.0
Honey,21.0,71.0
The Last Samurai,66.0,83.0
The Station Agent,94.0,89.0
Georges Bataille's Story of the Eye,43.0,29.0
Girl With a Pearl Earring,73.0,68.0
Love Don't Cost a Thing,13.0,65.0
Something's Gotta Give,72.0,69.0
Stuck on You,61.0,35.0
The Lord of the Rings: The Return of the King,94.0,86.0
The Lord of the Rings: The Return of the King,94.0,86.0
My Life Without Me,65.0,87.0
Calendar Girls,74.0,67.0
House of Sand and Fog,74.0,83.0
Mona Lisa Smile,34.0,60.0
Monster,82.0,81.0
Cheaper by the Dozen,24.0,56.0
Cold Mountain,70.0,77.0
Company,,
Paycheck,27.0,45.0
Peter Pan,,50.0
Leprechaun: Back 2 tha Hood,20.0,30.0
Shrek 2,89.0,69.0
Spider-Man 2,93.0,82.0
The Passion of the Christ,49.0,80.0
Meet the Fockers,39.0,58.0
The Incredibles,97.0,75.0
The Incredibles,97.0,75.0
Harry Potter and the Prisoner of Azkaban,90.0,86.0
The Day After Tomorrow,45.0,50.0
The Bourne Supremacy,82.0,90.0
National Treasure,46.0,76.0
The Polar Express,56.0,64.0
Chasing Liberty,18.0,60.0
My Baby's Daddy,6.0,50.0
Along Came Polly,27.0,47.0
Teacher's Pet,,
D.E.B.S.,42.0,56.0
The Butterfly Effect,34.0,81.0
Win a Date With Tad Hamilton!,55.0,46.0
The Big Bounce,,32.0
The Big Bounce,15.0,24.0
The Perfect Score,16.0,44.0
You Got Served,14.0,69.0
Barbershop 2: Back in Business,69.0,48.0
Catch That Kid,13.0,47.0
Miracle,81.0,90.0
50 First Dates,45.0,65.0
Iron Jawed Angels,56.0,89.0
Against the Ropes,12.0,29.0
Clifford's Really Big Movie,55.0,38.0
Confessions of a Teenage Drama Queen,14.0,35.0
Eurotrip,47.0,75.0
Welcome to Mooseport,13.0,19.0
The Passion of the Christ,49.0,80.0
Broken Lizard's Club Dread,30.0,44.0
Twisted,2.0,31.0
Hidalgo,46.0,64.0
Starsky & Hutch,63.0,49.0
Country of My Skull,23.0,56.0
Agent Cody Banks 2: Destination London,13.0,31.0
Secret Window,45.0,65.0
Spartan,65.0,62.0
Dawn of the Dead,76.0,77.0
Eternal Sunshine of the Spotless Mind,92.0,94.0
Taking Lives,22.0,54.0
Dogville,70.0,89.0
Jersey Girl,43.0,48.0
The Ladykillers,54.0,43.0
Never Die Alone,26.0,61.0
Girl Play,45.0,54.0
Hellboy,81.0,66.0
Home on the Range,52.0,29.0
The Prince & Me,29.0,59.0
The Prince & Me,29.0,59.0
Walking Tall,26.0,59.0
Johnson Family Vacation,6.0,44.0
The Alamo,29.0,46.0
Ella Enchanted,51.0,57.0
The Girl Next Door,,65.0
The Girl Next Door,,71.0
The Whole Ten Yards,4.0,40.0
Connie and Carla,44.0,70.0
Kill Bill: Vol. 2,84.0,89.0
13 Going on 30,65.0,71.0
Man on Fire,39.0,89.0
Bobby Jones: Stroke of Genius,27.0,62.0
Envy,,15.0
Godsend,4.0,20.0
Laws of Attraction,18.0,47.0
Mean Girls,84.0,66.0
The Saddest Music in the World,80.0,79.0
New York Minute,11.0,47.0
Off the Lip,25.0,
Super Size Me,92.0,72.0
Van Helsing,24.0,57.0
Breakin' All the Rules,31.0,57.0
Coffee and Cigarettes,64.0,75.0
Troy,53.0,73.0
Shrek 2,89.0,69.0
Stateside,24.0,60.0
Baadasssss!,91.0,84.0
The Day After Tomorrow,45.0,50.0
Raising Helen,25.0,61.0
Saved!,61.0,78.0
Soul Plane,18.0,51.0
Something the Lord Made,,93.0
Donnie Darko,87.0,80.0
Harry Potter and the Prisoner of Azkaban,90.0,86.0
The Chronicles of Riddick,29.0,65.0
Garfield: The Movie,14.0,38.0
Napoleon Dynamite,72.0,74.0
The Stepford Wives,26.0,30.0
Around the World in 80 Days,32.0,34.0
Dodgeball: A True Underdog Story,71.0,76.0
Terminal,,
Scooby-Doo and the Loch Ness Monster,,60.0
White Chicks,15.0,55.0
Fahrenheit 9/11,82.0,70.0
The Notebook,54.0,85.0
The Notebook,54.0,85.0
Two Brothers,78.0,75.0
Spider-Man 2,93.0,82.0
America's Heart and Soul,50.0,46.0
Before Sunset,94.0,92.0
The Clearing,43.0,32.0
The Clearing,43.0,32.0
De-Lovely,48.0,66.0
Anchorman: The Legend of Ron Burgundy,66.0,86.0
Sleepover,15.0,54.0
The Door in the Floor,68.0,64.0
A Cinderella Story,11.0,53.0
"I, Robot",57.0,70.0
The Bourne Supremacy,82.0,90.0
Catwoman,8.0,18.0
A Home at the End of the World,50.0,67.0
Garden State,86.0,88.0
Harold & Kumar Go to White Castle,75.0,80.0
She Hate Me,19.0,59.0
The Manchurian Candidate,80.0,63.0
Thunderbirds,19.0,37.0
The Town,,72.0
The Village,44.0,57.0
Collateral,86.0,84.0
Little Black Book,22.0,37.0
Open Water,71.0,33.0
The Princess Diaries 2: Royal Engagement,26.0,59.0
The Princess Diaries 2: Royal Engagement,26.0,59.0
Alien vs. Predator,22.0,39.0
Exorcist: The Beginning,11.0,27.0
Without a Paddle,14.0,68.0
Anacondas: The Hunt for the Blood Orchid,26.0,27.0
Suspect Zero,18.0,38.0
5x2,65.0,69.0
Vanity Fair,51.0,50.0
The Cookout,5.0,37.0
Paparazzi,18.0,38.0
Warriors of Heaven and Earth,68.0,56.0
Wicker Park,27.0,79.0
Cellular,56.0,58.0
Criminal,,
Resident Evil: Apocalypse,19.0,60.0
Saving Face,88.0,88.0
Mr. 3000,55.0,30.0
Wimbledon,61.0,57.0
Georges Bataille's Story of the Eye,43.0,29.0
First Daughter,8.0,42.0
The Forgotten,,
The Forgotten,31.0,36.0
The Last Shot,62.0,32.0
The Last Shot,62.0,32.0
The Motorcycle Diaries,83.0,92.0
The Motorcycle Diaries,83.0,92.0
Shaun of the Dead,92.0,93.0
I Heart Huckabees,64.0,75.0
Ladder 49,41.0,81.0
Shark Tale,35.0,48.0
Bride & Prejudice,64.0,70.0
Taxi,9.0,43.0
Around the Bend,29.0,60.0
Friday Night Lights,82.0,85.0
Raise Your Voice,16.0,71.0
Being Julia,77.0,74.0
The Final Cut,37.0,45.0
Final Cut,,57.0
Shall We Dance?,47.0,57.0
Team America: World Police,77.0,80.0
The Grudge,41.0,46.0
The Grudge,41.0,46.0
Sideways,97.0,79.0
Surviving Christmas,8.0,30.0
Vera Drake,93.0,84.0
Birth,39.0,43.0
Ray,79.0,87.0
Saw,50.0,84.0
Stage Beauty,64.0,78.0
Alfie,48.0,51.0
Fade to Black,,
The Incredibles,97.0,75.0
The Incredibles,97.0,75.0
Mickey's Twice Upon a Christmas,,62.0
The Polar Express,56.0,64.0
After the Sunset,18.0,52.0
Finding Neverland,83.0,87.0
Kinsey,90.0,75.0
Seed of Chucky,35.0,43.0
Kangaroo Jack: G'Day U.S.A.!,,40.0
Bridget Jones: The Edge of Reason,27.0,60.0
National Treasure,46.0,76.0
The SpongeBob SquarePants Movie,68.0,78.0
The SpongeBob SquarePants Movie,68.0,78.0
Alexander,16.0,35.0
Christmas With the Kranks,5.0,39.0
A Very Long Engagement,79.0,85.0
Closer,68.0,81.0
House of Flying Daggers,87.0,82.0
Blue Collar Comedy Tour Rides Again,,78.0
Blade: Trinity,24.0,58.0
Ocean's Twelve,55.0,60.0
Million Dollar Baby,90.0,90.0
Beyond the Sea,42.0,64.0
Flight of the Phoenix,31.0,40.0
Spanglish,54.0,60.0
Hotel Rwanda,91.0,94.0
Meet the Fockers,39.0,58.0
The Aviator,87.0,79.0
Darkness,5.0,31.0
Fat Albert,23.0,44.0
The Assassination of Richard Nixon,68.0,69.0
In Good Company,82.0,54.0
Star Wars: Episode III - Revenge of the Sith,79.0,66.0
Harry Potter and the Goblet of Fire,88.0,74.0
War of the Worlds,76.0,42.0
King Kong,84.0,50.0
Wedding Crashers,75.0,70.0
Charlie and the Chocolate Factory,83.0,51.0
Batman Begins,85.0,94.0
Madagascar,55.0,67.0
Mr. & Mrs. Smith,60.0,58.0
White Noise,7.0,31.0
Coach Carter,64.0,85.0
Elektra,11.0,29.0
Racing Stripes,35.0,42.0
Assault on Precinct 13,60.0,48.0
The Phantom of the Opera,33.0,84.0
Alone in the Dark,1.0,11.0
Hide & Seek,,0.0
Mulan II,0.0,43.0
Boogeyman,13.0,21.0
The Wedding Date,11.0,67.0
Hitch,69.0,62.0
Pooh's Heffalump Movie,80.0,68.0
Lackawanna Blues,75.0,91.0
Because of Winn-Dixie,55.0,63.0
Constantine,46.0,72.0
Son of the Mask,6.0,16.0
Cursed,,
Diary of a Mad Black Woman,16.0,86.0
Man of the House,9.0,46.0
Be Cool,30.0,42.0
The Jacket,44.0,73.0
The Jacket,44.0,73.0
The Pacifier,21.0,58.0
Hostage,,
Robots,64.0,54.0
Ice Princess,52.0,58.0
The Ring Two,21.0,33.0
Miss Congeniality 2: Armed and Fabulous,15.0,43.0
Guess Who,41.0,49.0
The Ballad of Jack and Rose,47.0,61.0
Sin City,76.0,78.0
The Upside of Anger,74.0,63.0
Fever Pitch,66.0,60.0
Kim Possible: So the Drama,,73.0
The Amityville Horror,31.0,52.0
The Amityville Horror,24.0,52.0
Reefer Madness,75.0,87.0
The Interpreter,86.0,
The Interpreter,58.0,54.0
King's Ransom,2.0,32.0
A Lot Like Love,,
The Hitchhiker's Guide to the Galaxy,60.0,65.0
XXX: State of the Union,17.0,32.0
Warm Springs,,77.0
The Sandlot 2,40.0,41.0
Crash,,
House of Wax,28.0,43.0
Jiminy Glick in Lalawood,23.0,33.0
Kingdom of Heaven,40.0,72.0
Kicking & Screaming,41.0,43.0
