tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title,url,release_date,critic_score,audience_score
tt0377981,movie,Gnomeo & Juliet,gnomeo & juliet,0,2011.0,,84.0,"Adventure,Animation,Comedy",gnomeo & juliet,https://www.rottentomatoes.com/m/gnomeo_and_juliet,"Released Feb 11, 2011",55%,54%
tt0378194,movie,Kill Bill: Vol. 2,kill bill: vol. 2,0,2004.0,,137.0,"Action,Crime,Thriller",kill bill: vol. 2,https://www.rottentomatoes.com/m/kill_bill_volume_2,"Released Apr 16, 2004",84%,89%
tt0379217,movie,Coffee and Cigarettes,coffee and cigarettes,0,2003.0,,95.0,"Comedy,Drama,Music",coffee and cigarettes,https://www.rottentomatoes.com/m/coffee_and_cigarettes,"Released May 14, 2004",64%,75%
tt0379786,movie,Serenity,serenity,0,2005.0,,119.0,"Action,Adventure,Sci-Fi",serenity,https://www.rottentomatoes.com/m/serenity,"Released Sep 30, 2005",82%,91%
tt0379797,movie,Georges Bataille's Story of the Eye,georges bataille's story of the eye,0,2003.0,,81.0,Drama,georges bataille's story of the eye,https://www.rottentomatoes.com/m/georges_batailles_story_of_the_eye,2004,43%,29%
tt0379865,movie,Leatherheads,leatherheads,0,2008.0,,114.0,"Comedy,Drama,Romance",leatherheads,https://www.rottentomatoes.com/m/leatherheads,"Released Apr 4, 2008",52%,38%
tt0379976,movie,Savage Grace,savage grace,0,2007.0,,97.0,Drama,savage grace,https://www.rottentomatoes.com/m/savage_grace,"Released May 30, 2008",38%,38%
tt0380201,movie,Back to You in the Days,back in the day,0,2005.0,,103.0,"Action,Crime,Drama",back in the day,https://www.rottentomatoes.com/m/back_in_the_day,"Released Jan 17, 2014",11%,47%
tt0380235,movie,Bridesmaids,bridesmaids,0,1996.0,,,"Comedy,Drama",bridesmaids,https://www.rottentomatoes.com/m/bridesmaids,1989,,62%
tt0380277,movie,The Cookout,the cookout,0,2004.0,,97.0,Comedy,the cookout,https://www.rottentomatoes.com/m/cookout,"Released Sep 3, 2004",5%,37%
tt0380395,movie,Grindhouse,grindhouse,0,2003.0,,106.0,Horror,grindhouse,https://www.rottentomatoes.com/m/grindhouse,"Released Apr 6, 2007",84%,87%
tt0381681,movie,Before Sunset,before sunset,0,2004.0,,80.0,"Drama,Romance",before sunset,https://www.rottentomatoes.com/m/before_sunset,"Released Feb 10, 2004",94%,92%
tt0381707,movie,White Chicks,white chicks,0,2004.0,,109.0,"Comedy,Crime",white chicks,https://www.rottentomatoes.com/m/white_chicks,"Released Jun 23, 2004",15%,55%
tt0381971,movie,Curious George,curious george,0,2006.0,,87.0,"Adventure,Animation,Comedy",curious george,https://www.rottentomatoes.com/m/curious_george,2006,,
tt0382255,movie,Quality of Life,quality of life,0,2004.0,,85.0,Drama,quality of life,https://www.rottentomatoes.com/m/against_the_wall,2004,67%,86%
tt0382625,movie,The Da Vinci Code,the da vinci code,0,2006.0,,149.0,"Mystery,Thriller",the da vinci code,https://www.rottentomatoes.com/m/da_vinci_code,"Released May 19, 2006",25%,57%
tt0382765,movie,Jindabyne,jindabyne,0,2006.0,,123.0,"Crime,Drama,Mystery",jindabyne,https://www.rottentomatoes.com/m/jindabyne,"Released Apr 27, 2007",65%,49%
tt0382810,movie,Little Fish,little fish,0,2005.0,,114.0,"Crime,Drama,Romance",little fish,https://www.rottentomatoes.com/m/little_fish,2005,90%,57%
tt0382932,movie,Ratatouille,ratatouille,0,2007.0,,111.0,"Adventure,Animation,Comedy",ratatouille,https://www.rottentomatoes.com/m/ratatouille,"Released Jun 29, 2007",96%,87%
tt0382992,movie,Stealth,stealth,0,2005.0,,121.0,"Action,Adventure,Sci-Fi",stealth,https://www.rottentomatoes.com/m/stealth,2006,,56%
tt0383010,movie,The Three Stooges,the three stooges,0,2012.0,,92.0,"Comedy,Family",the three stooges,https://www.rottentomatoes.com/m/three_stooges,"Released Apr 13, 2012",51%,47%
