year,category,nominee,winner
1935,SHORT SUBJECT (Cartoon),Holiday Land,False
1935,SHORT SUBJECT (Cartoon),Jolly Little Elves,False
1935,SHORT SUBJECT (Cartoon),The Tortoise and the Hare,True
1935,SHORT SUBJECT (Comedy),La Cucaracha,True
1935,SHORT SUBJECT (Comedy),Men in Black,False
1935,SHORT SUBJECT (Comedy),"What, No Men!",False
1935,SHORT SUBJECT (Novelty),Bosom Friends,False
1935,SHORT SUBJECT (Novelty),City of Wax,True
1935,SHORT SUBJECT (Novelty),Strikes and Spares,False
1935,SOUND RECORDING,The Affairs of Cellini,False
1935,SOUND RECORDING,Cleopatra,False
1935,SOUND RECORDING,Flirtation Walk,False
1935,SOUND RECORDING,The Gay Divorcee,False
1935,SOUND RECORDING,Imitation of Life,False
1935,SOUND RECORDING,One Night of Love,True
1935,SOUND RECORDING,Viva Villa!,False
1935,SOUND RECORDING,The White Parade,False
1935,WRITING (Adaptation),It Happened One Night,True
1935,WRITING (Adaptation),The Thin Man,False
1935,WRITING (Adaptation),Viva Villa!,False
1935,WRITING (Original Story),Hide-Out,False
1935,WRITING (Original Story),Manhattan Melodrama,True
1935,WRITING (Original Story),The Richest Girl in the World,False
1935,SPECIAL AWARD,,True
1936,ACTOR,Mutiny on the Bounty,False
1936,ACTOR,Mutiny on the Bounty,False
1936,ACTOR,The Informer,True
1936,ACTOR,Black Fury,False
1936,ACTOR,Mutiny on the Bounty,False
1936,ACTRESS,Escape Me Never,False
1936,ACTRESS,Private Worlds,False
1936,ACTRESS,Dangerous,True
1936,ACTRESS,Alice Adams,False
1936,ACTRESS,Becky Sharp,False
1936,ACTRESS,The Dark Angel,False
1936,ART DIRECTION,The Dark Angel,True
1936,ART DIRECTION,The Lives of a Bengal Lancer,False
1936,ART DIRECTION,Top Hat,False
1936,ASSISTANT DIRECTOR,David Copperfield,False
1936,ASSISTANT DIRECTOR,Les Miserables,False
1936,ASSISTANT DIRECTOR,The Lives of a Bengal Lancer,True
1936,ASSISTANT DIRECTOR,A Midsummer Night's Dream,False
1936,CINEMATOGRAPHY,Barbary Coast,False
1936,CINEMATOGRAPHY,The Crusades,False
1936,CINEMATOGRAPHY,Les Miserables,False
1936,CINEMATOGRAPHY,A Midsummer Night's Dream,True
1936,DANCE DIRECTION,Gold Diggers of 1935,False
1936,DANCE DIRECTION,Go into Your Dance,False
1936,DANCE DIRECTION,Broadway Hostess,False
1936,DANCE DIRECTION,Broadway Melody of 1936,True
1936,DANCE DIRECTION,Folies Bergere,True
1936,DANCE DIRECTION,King of Burlesque,False
1936,DANCE DIRECTION,Top Hat,False
1936,DANCE DIRECTION,Big Broadcast of 1936,False
1936,DANCE DIRECTION,All the King's Horses,False
1936,DANCE DIRECTION,She,False
1936,DIRECTING,Captain Blood,False
1936,DIRECTING,The Informer,True
1936,DIRECTING,The Lives of a Bengal Lancer,False
1936,DIRECTING,Mutiny on the Bounty,False
1936,FILM EDITING,David Copperfield,False
1936,FILM EDITING,The Informer,False
1936,FILM EDITING,Les Miserables,False
1936,FILM EDITING,The Lives of a Bengal Lancer,False
1936,FILM EDITING,A Midsummer Night's Dream,True
1936,FILM EDITING,Mutiny on the Bounty,False
1936,MUSIC (Scoring),Captain Blood,False
1936,MUSIC (Scoring),The Informer,True
1936,MUSIC (Scoring),Mutiny on the Bounty,False
1936,MUSIC (Scoring),Peter Ibbetson,False
1936,MUSIC (Song),Top Hat,False
1936,MUSIC (Song),Roberta,False
1936,MUSIC (Song),Gold Diggers of 1935,True
1936,OUTSTANDING PRODUCTION,Alice Adams,False
1936,OUTSTANDING PRODUCTION,Broadway Melody of 1936,False
1936,OUTSTANDING PRODUCTION,Captain Blood,False
1936,OUTSTANDING PRODUCTION,David Copperfield,False
1936,OUTSTANDING PRODUCTION,The Informer,False
1936,OUTSTANDING PRODUCTION,Les Miserables,False
1936,OUTSTANDING PRODUCTION,The Lives of a Bengal Lancer,False
1936,OUTSTANDING PRODUCTION,A Midsummer Night's Dream,False
1936,OUTSTANDING PRODUCTION,Mutiny on the Bounty,True
1936,OUTSTANDING PRODUCTION,Naughty Marietta,False
1936,OUTSTANDING PRODUCTION,Ruggles of Red Gap,False
1936,OUTSTANDING PRODUCTION,Top Hat,False
1936,SHORT SUBJECT (Cartoon),The Calico Dragon,False
1936,SHORT SUBJECT (Cartoon),Three Orphan Kittens,True
1936,SHORT SUBJECT (Cartoon),Who Killed Cock Robin?,False
1936,SHORT SUBJECT (Comedy),How to Sleep,True
1936,SHORT SUBJECT (Comedy),"Oh, My Nerves",False
1936,SHORT SUBJECT (Comedy),Tit for Tat,False
1936,SHORT SUBJECT (Novelty),Audioscopiks,False
1936,SHORT SUBJECT (Novelty),Camera Thrills,False
1936,SHORT SUBJECT (Novelty),Wings over Mt. Everest,True
1936,SOUND RECORDING,Bride of Frankenstein,False
1936,SOUND RECORDING,Captain Blood,False
1936,SOUND RECORDING,The Dark Angel,False
1936,SOUND RECORDING,I Dream Too Much,False
1936,SOUND RECORDING,The Lives of a Bengal Lancer,False
1936,SOUND RECORDING,Love Me Forever,False
1936,SOUND RECORDING,Naughty Marietta,True
1936,SOUND RECORDING,"$1,000 a Minute",False
1936,SOUND RECORDING,Thanks a Million,False
1936,WRITING (Original Story),Broadway Melody of 1936,False
1936,WRITING (Original Story),G-Men,False
1936,WRITING (Original Story),The Gay Deception,False
1936,WRITING (Original Story),The Scoundrel,True
1936,WRITING (Screenplay),Captain Blood,False
1936,WRITING (Screenplay),The Informer,True
1936,WRITING (Screenplay),The Lives of a Bengal Lancer,False
1936,WRITING (Screenplay),Mutiny on the Bounty,False
1936,SPECIAL AWARD,,True
1937,ACTOR,Mr. Deeds Goes to Town,False
1937,ACTOR,Dodsworth,False
1937,ACTOR,The Story of Louis Pasteur,True
1937,ACTOR,My Man Godfrey,False
1937,ACTOR,San Francisco,False
1937,ACTOR IN A SUPPORTING ROLE,My Man Godfrey,False
1937,ACTOR IN A SUPPORTING ROLE,Come and Get It,True
1937,ACTOR IN A SUPPORTING ROLE,Pigskin Parade,False
1937,ACTOR IN A SUPPORTING ROLE,Romeo and Juliet,False
1937,ACTOR IN A SUPPORTING ROLE,The General Died at Dawn,False
1937,ACTRESS,Theodora Goes Wild,False
1937,ACTRESS,Valiant Is the Word for Carrie,False
1937,ACTRESS,My Man Godfrey,False
1937,ACTRESS,The Great Ziegfeld,True
1937,ACTRESS,Romeo and Juliet,False
1937,ACTRESS IN A SUPPORTING ROLE,The Gorgeous Hussy,False
1937,ACTRESS IN A SUPPORTING ROLE,My Man Godfrey,False
1937,ACTRESS IN A SUPPORTING ROLE,These Three,False
1937,ACTRESS IN A SUPPORTING ROLE,Dodsworth,False
1937,ACTRESS IN A SUPPORTING ROLE,Anthony Adverse,True
1937,ART DIRECTION,Anthony Adverse,False
1937,ART DIRECTION,Dodsworth,True
1937,ART DIRECTION,The Great Ziegfeld,False
1937,ART DIRECTION,Lloyds of London,False
1937,ART DIRECTION,The Magnificent Brute,False
1937,ART DIRECTION,Romeo and Juliet,False
1937,ART DIRECTION,Winterset,False
1937,ASSISTANT DIRECTOR,Anthony Adverse,False
1937,ASSISTANT DIRECTOR,The Charge of the Light Brigade,True
1937,ASSISTANT DIRECTOR,The Garden of Allah,False
1937,ASSISTANT DIRECTOR,The Last of the Mohicans,False
1937,ASSISTANT DIRECTOR,San Francisco,False
1937,CINEMATOGRAPHY,Anthony Adverse,True
1937,CINEMATOGRAPHY,The General Died at Dawn,False
1937,CINEMATOGRAPHY,The Gorgeous Hussy,False
1937,DANCE DIRECTION,Gold Diggers of 1937,False
