title,stars_in_movie,critic_score,audience_score,awards_all,nomination_count,award_count,awards_won,awards_nominated,worldwide_gross
End of Days,,11.0,33.0,,0,0,,,212026975.0
Flawless,Robert De Niro,40.0,54.0,,0,0,,,
Agnes Browne,,41.0,71.0,,0,0,,,
Holy Smoke,,46.0,47.0,,0,0,,,
Sweet and Lowdown,,77.0,82.0,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)",4,0,,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)",
The Cider House Rules,,71.0,77.0,"Oscars - ACTOR IN A SUPPORTING ROLE(Won)
Oscars - ART DIRECTION(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Screenplay Based on Material Previously Produced or Published)(Won)",7,2,"Oscars - ACTOR IN A SUPPORTING ROLE(Won)
Oscars - WRITING (Screenplay Based on Material Previously Produced or Published)(Won)","Oscars - ART DIRECTION(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - BEST PICTURE(Nominated)",88547209.0
Cradle Will Rock,,65.0,71.0,,0,0,,,
Deuce Bigalow: Male Gigolo,Amy Poehler,22.0,42.0,,0,0,,,92935067.0
The Green Mile,Tom Hanks,79.0,94.0,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - SOUND(Nominated)
Oscars - WRITING (Screenplay Based on Material Previously Produced or Published)(Nominated)",4,0,,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - SOUND(Nominated)
Oscars - WRITING (Screenplay Based on Material Previously Produced or Published)(Nominated)",290701374.0
Topsy-Turvy,,90.0,79.0,"Oscars - ART DIRECTION(Nominated)
Oscars - COSTUME DESIGN(Won)
Oscars - MAKEUP(Won)
Oscars - WRITING (Screenplay Written Directly for the Screen)(Nominated)",4,2,"Oscars - COSTUME DESIGN(Won)
Oscars - MAKEUP(Won)","Oscars - ART DIRECTION(Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen)(Nominated)",
Bicentennial Man,,37.0,59.0,Oscars - MAKEUP(Nominated),1,0,,Oscars - MAKEUP(Nominated),87420776.0
Fantasia 2000,,80.0,75.0,,0,0,,,60518248.0
Magnolia,,82.0,89.0,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen)(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Won)
Golden Globes - Best Original Song - Motion Picture(Nominated)",5,1,Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Won),"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen)(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",48446802.0
Stuart Little,,67.0,41.0,Oscars - VISUAL EFFECTS(Nominated),1,0,,Oscars - VISUAL EFFECTS(Nominated),298815224.0
"Girl, Interrupted",Winona Ryder,53.0,84.0,"Oscars - ACTRESS IN A SUPPORTING ROLE(Won)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Won)",2,2,"Oscars - ACTRESS IN A SUPPORTING ROLE(Won)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Won)",,48308749.0
Any Given Sunday,"Al Pacino, Cameron Diaz",52.0,73.0,,0,0,,,100230832.0
Snow Falling on Cedars,,39.0,67.0,Oscars - CINEMATOGRAPHY(Nominated),1,0,,Oscars - CINEMATOGRAPHY(Nominated),
The Big Tease,,56.0,54.0,,0,0,,,
Angela's Ashes,,52.0,81.0,"Oscars - MUSIC (Original Score)(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",2,0,,"Oscars - MUSIC (Original Score)(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",
Galaxy Quest,Sigourney Weaver,90.0,79.0,,0,0,,,90523726.0
The Talented Mr. Ripley,Matt Damon,85.0,80.0,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ART DIRECTION(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - WRITING (Screenplay Based on Material Previously Produced or Published)(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",10,0,,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ART DIRECTION(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - WRITING (Screenplay Based on Material Previously Produced or Published)(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",128792130.0
Titus,,69.0,86.0,Oscars - COSTUME DESIGN(Nominated),1,0,,Oscars - COSTUME DESIGN(Nominated),
How the Grinch Stole Christmas,,49.0,58.0,,0,0,,,347522208.0
Cast Away,Tom Hanks,89.0,84.0,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - SOUND(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Won)",3,1,Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Won),"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - SOUND(Nominated)",427230516.0
Mission: Impossible II,,56.0,42.0,,0,0,,,
What Women Want,,54.0,54.0,Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated),1,0,,Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated),374105123.0
The Perfect Storm,"George Clooney, Mark Wahlberg",46.0,63.0,"Oscars - SOUND(Nominated)
Oscars - VISUAL EFFECTS(Nominated)
BAFTAs - Film | Sound in 2001(Nominated)",3,0,,"Oscars - SOUND(Nominated)
Oscars - VISUAL EFFECTS(Nominated)
BAFTAs - Film | Sound in 2001(Nominated)",328711434.0
Meet the Parents,Robert De Niro,85.0,79.0,Oscars - MUSIC (Original Song)(Nominated),1,0,,Oscars - MUSIC (Original Song)(Nominated),330425040.0
X-Men,"Hugh Jackman, Ian McKellen",82.0,83.0,,0,0,,,296872367.0
Scary Movie,,51.0,43.0,,0,0,,,277200000.0
What Lies Beneath,Harrison Ford,47.0,58.0,,0,0,,,288693989.0
Next Friday,,21.0,76.0,,0,0,,,59675307.0
Play It to the Bone,,11.0,25.0,,0,0,,,
The Boondock Saints,Willem Dafoe,26.0,91.0,,0,0,,,
Down to You,,3.0,48.0,,0,0,,,20035310.0
Isn't She Great,,24.0,37.0,,0,0,,,
Simpatico,,25.0,14.0,,0,0,,,
Gun Shy,Liam Neeson,26.0,36.0,,0,0,,,
Scream 3,Carrie Fisher,41.0,38.0,,0,0,,,161838076.0
The Beach,Leonardo DiCaprio,21.0,57.0,,0,0,,,39778599.0
Snow Day,,29.0,27.0,,0,0,,,62452927.0
The Tigger Movie,,62.0,62.0,,0,0,,,96147688.0
Beautiful People,,80.0,85.0,,0,0,,,
Hanging Up,,12.0,34.0,,0,0,,,51867723.0
Pitch Black,,60.0,77.0,,0,0,,,53182088.0
The Whole Nine Yards,,43.0,64.0,,0,0,,,85527867.0
Wonder Boys,"Robert Downey Jr., Tobey Maguire",81.0,83.0,"Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Original Song)(Won)
Oscars - WRITING (Screenplay Based on Material Previously Produced or Published)(Nominated)
BAFTAs - Film | Adapted Screenplay in 2001(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)
Golden Globes - Best Original Song - Motion Picture(Won)",8,2,"Oscars - MUSIC (Original Song)(Won)
Golden Globes - Best Original Song - Motion Picture(Won)","Oscars - FILM EDITING(Nominated)
Oscars - WRITING (Screenplay Based on Material Previously Produced or Published)(Nominated)
BAFTAs - Film | Adapted Screenplay in 2001(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",33422485.0
Reindeer Games,,25.0,27.0,,0,0,,,23360779.0
3 Strikes,,0.0,67.0,,0,0,,,
Drowning Mona,,29.0,47.0,,0,0,,,
My Dog Skip,,73.0,68.0,,0,0,,,35795319.0
The Next Best Thing,,19.0,35.0,,0,0,,,24355762.0
If These Walls Could Talk 2,,60.0,83.0,"Golden Globes - Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television(Won)",1,1,"Golden Globes - Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television(Won)",,
Mission to Mars,,24.0,30.0,,0,0,,,106000000.0
The Ninth Gate,Johnny Depp,43.0,58.0,,0,0,,,58394308.0
Erin Brockovich,,85.0,81.0,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS IN A LEADING ROLE(Won)
Oscars - DIRECTING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen)(Nominated)
BAFTAs - Film | David Lean Award for Achievement in Direction in 2001(Nominated)
BAFTAs - Film | Editing in 2001(Nominated)
BAFTAs - Film | Film in 2001(Nominated)
BAFTAs - Film | Original Screenplay in 2001(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Won)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)",13,2,"Oscars - ACTRESS IN A LEADING ROLE(Won)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Won)","Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen)(Nominated)
BAFTAs - Film | David Lean Award for Achievement in Direction in 2001(Nominated)
BAFTAs - Film | Editing in 2001(Nominated)
BAFTAs - Film | Film in 2001(Nominated)
BAFTAs - Film | Original Screenplay in 2001(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)",257805243.0
Final Destination,,36.0,68.0,,0,0,,,112036870.0
Romeo Must Die,,32.0,61.0,,0,0,,,91036760.0
Ghost Dog: The Way of the Samurai,,84.0,86.0,,0,0,,,
Here on Earth,,17.0,60.0,,0,0,,,
Mr. Accident,,17.0,31.0,,0,0,,,
Waking the Dead,,50.0,77.0,,0,0,,,
Leprechaun in the Hood,,33.0,31.0,,0,0,,,
Price of Glory,,33.0,76.0,,0,0,,,
The Road to El Dorado,,49.0,66.0,,0,0,,,65700000.0
The Skulls,,9.0,43.0,,0,0,,,35007180.0
Joe Gould's Secret,,65.0,63.0,,0,0,,,
Ready to Rumble,John Cena,23.0,52.0,,0,0,,,
Return to Me,,62.0,80.0,,0,0,,,32662299.0
Rules of Engagement,,37.0,55.0,,0,0,,,71719931.0
28 Days,Viggo Mortensen,33.0,50.0,,0,0,,,62063972.0
American Psycho,"Christian Bale, Willem Dafoe",68.0,85.0,,0,0,,,34270285.0
Keeping the Faith,Edward Norton,69.0,59.0,,0,0,,,45336404.0
Kevin & Perry Go Large,,14.0,70.0,,0,0,,,
Where the Money Is,,48.0,36.0,,0,0,,,
Gossip,,28.0,47.0,,0,0,,,
Love & Basketball,,85.0,95.0,,0,0,,,27709625.0
U-571,,68.0,62.0,"Oscars - SOUND(Nominated)
Oscars - SOUND EDITING(Won)",2,1,Oscars - SOUND EDITING(Won),Oscars - SOUND(Nominated),127630030.0
The Virgin Suicides,Kirsten Dunst,80.0,81.0,,0,0,,,
The Big Kahuna,,73.0,72.0,,0,0,,,
The Flintstones in Viva Rock Vegas,,25.0,20.0,,0,0,,,59431365.0
Frequency,Michael Cera,70.0,81.0,Golden Globes - Best Original Song - Motion Picture(Nominated),1,0,,Golden Globes - Best Original Song - Motion Picture(Nominated),68079671.0
The Last September,,42.0,33.0,,0,0,,,
Timecode,,68.0,48.0,Oscars - SHORT FILM (Live Action)(Nominated),1,0,,Oscars - SHORT FILM (Live Action)(Nominated),
I Dreamed of Africa,,10.0,56.0,,0,0,,,
Michael Jordan: To the Max,,67.0,81.0,,0,0,,,
Up at the Villa,,45.0,35.0,,0,0,,,
Battlefield Earth,,3.0,13.0,,0,0,,,
Center Stage,,41.0,82.0,,0,0,,,21361109.0
Held Up,,17.0,42.0,,0,0,,,
Small Time Crooks,,66.0,57.0,Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated),1,0,,Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated),29934477.0
Passion of Mind,,19.0,51.0,,0,0,,,
Shanghai Noon,,80.0,65.0,,0,0,,,71189835.0
Big Momma's House,,30.0,57.0,,0,0,,,173559438.0
Love's Labour's Lost,,50.0,40.0,,0,0,,,
Sunshine,Chris Evans,77.0,73.0,"Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",3,0,,"Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",32030610.0
The Woman Chaser,,71.0,73.0,,0,0,,,
Boys and Girls,,11.0,50.0,Oscars - SHORT FILM (Live Action)(Won),1,1,Oscars - SHORT FILM (Live Action)(Won),,21799652.0
Jesus' Son,,79.0,83.0,,0,0,,,
Titan A.E.,Matt Damon,50.0,61.0,,0,0,,,36751979.0
Time Regained,,72.0,72.0,,0,0,,,
Chicken Run,,97.0,65.0,"BAFTAs - Film | Alexander Korda Award for the outstanding British Film of the Year in 2001(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)",2,0,,"BAFTAs - Film | Alexander Korda Award for the outstanding British Film of the Year in 2001(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)",227793915.0
"Me, Myself & Irene",,48.0,57.0,,0,0,,,149270999.0
Trixie,,28.0,23.0,,0,0,,,
The Adventures of Rocky and Bullwinkle,,42.0,21.0,,0,0,,,
But I'm a Cheerleader,,43.0,75.0,,0,0,,,
Disney's The Kid,,49.0,49.0,,0,0,,,
Heavy Metal 2000,,8.0,36.0,,0,0,,,
Chuck & Buck,,84.0,66.0,,0,0,,,
The Five Senses,,74.0,79.0,,0,0,,,
Beethoven's 3rd,,0.0,25.0,,0,0,,,
Thomas and the Magic Railroad,,21.0,42.0,,0,0,,,
Croupier,,95.0,79.0,,0,0,,,
The Girl on the Bridge,,88.0,91.0,,0,0,,,
Nutty Professor II: The Klumps,,27.0,33.0,,0,0,,,166307945.0
Wonderland,Carrie Fisher,34.0,65.0,,0,0,,,
Coyote Ugly,,23.0,71.0,,0,0,,,113916474.0
Hollow Man,,26.0,28.0,Oscars - VISUAL EFFECTS(Nominated),1,0,,Oscars - VISUAL EFFECTS(Nominated),191200000.0
Space Cowboys,,78.0,53.0,Oscars - SOUND EDITING(Nominated),1,0,,Oscars - SOUND EDITING(Nominated),128874043.0
The Tao of Steve,,80.0,69.0,,0,0,,,
Autumn in New York,Winona Ryder,20.0,53.0,,0,0,,,90717684.0
Bless the Child,,4.0,43.0,,0,0,,,40435694.0
Cecil B. Demented,,52.0,67.0,,0,0,,,
The Opportunists,,54.0,46.0,,0,0,,,
The Replacements,,41.0,66.0,,0,0,,,50054511.0
The Original Kings of Comedy,,83.0,79.0,,0,0,,,38236338.0
Bring It On,Kirsten Dunst,65.0,66.0,,0,0,,,
Highlander: Endgame,,11.0,38.0,,0,0,,,
Whipped,,13.0,32.0,,0,0,,,
Turn It Up,,10.0,25.0,,0,0,,,
Nurse Betty,,83.0,45.0,Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Won),1,1,Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Won),,27732366.0
Urbania,,73.0,71.0,,0,0,,,
The Watcher,,11.0,28.0,,0,0,,,47267829.0
The Way of the Gun,,46.0,70.0,,0,0,,,
Crime and Punishment in Suburbia,,21.0,58.0,,0,0,,,
Into the Arms of Strangers: Stories of the Kindertransport,,92.0,88.0,Oscars - DOCUMENTARY (Feature)(Won),1,1,Oscars - DOCUMENTARY (Feature)(Won),,
Almost Famous,,91.0,92.0,"Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen)(Won)
BAFTAs - Film | Anthony Asquith Award for Original Film Music in 2001(Nominated)
BAFTAs - Film | Film in 2001(Nominated)
BAFTAs - Film | Original Screenplay in 2001(Won)
BAFTAs - Film | Sound in 2001(Won)
Golden Globes - Best Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Won)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",12,5,"Oscars - WRITING (Screenplay Written Directly for the Screen)(Won)
BAFTAs - Film | Original Screenplay in 2001(Won)
BAFTAs - Film | Sound in 2001(Won)
Golden Globes - Best Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Won)","Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - FILM EDITING(Nominated)
BAFTAs - Film | Anthony Asquith Award for Original Film Music in 2001(Nominated)
BAFTAs - Film | Film in 2001(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",47371191.0
The Fantasticks,,48.0,49.0,,0,0,,,
The Specials,,82.0,86.0,,0,0,,,
Urban Legends: Final Cut,,10.0,20.0,,0,0,,,38574362.0
Woman on Top,,35.0,42.0,,0,0,,,
Best in Show,,93.0,88.0,Golden Globes - Best Motion Picture - Musical or Comedy(Nominated),1,0,,Golden Globes - Best Motion Picture - Musical or Comedy(Nominated),20695413.0
Girlfight,,87.0,75.0,,0,0,,,
Remember the Titans,"Denzel Washington, Ryan Gosling",71.0,93.0,,0,0,,,136771683.0
Scooby-Doo and the Alien Invaders,,80.0,62.0,,0,0,,,
Bamboozled,,53.0,74.0,,0,0,,,
Bootmen,,39.0,69.0,,0,0,,,
Dancer in the Dark,,70.0,91.0,Oscars - MUSIC (Original Song)(Nominated),1,0,,Oscars - MUSIC (Original Song)(Nominated),45556774.0
Digimon: The Movie,,24.0,66.0,,0,0,,,
Tigerland,,77.0,71.0,,0,0,,,
Animal Factory,,83.0,59.0,,0,0,,,
Billy Elliot,,85.0,89.0,"Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen)(Nominated)
BAFTAs - Film | Alexander Korda Award for the outstanding British Film of the Year in 2001(Won)
BAFTAs - Film | Anthony Asquith Award for Original Film Music in 2001(Nominated)
BAFTAs - Film | Cinematography in 2001(Nominated)
BAFTAs - Film | David Lean Award for Achievement in Direction in 2001(Nominated)
BAFTAs - Film | Editing in 2001(Nominated)
BAFTAs - Film | Film in 2001(Nominated)
BAFTAs - Film | Original Screenplay in 2001(Nominated)
BAFTAs - Film | Sound in 2001(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)",13,1,BAFTAs - Film | Alexander Korda Award for the outstanding British Film of the Year in 2001(Won),"Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen)(Nominated)
BAFTAs - Film | Anthony Asquith Award for Original Film Music in 2001(Nominated)
BAFTAs - Film | Cinematography in 2001(Nominated)
BAFTAs - Film | David Lean Award for Achievement in Direction in 2001(Nominated)
BAFTAs - Film | Editing in 2001(Nominated)
BAFTAs - Film | Film in 2001(Nominated)
BAFTAs - Film | Original Screenplay in 2001(Nominated)
BAFTAs - Film | Sound in 2001(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)",109252972.0
Dr. T & the Women,,57.0,20.0,,0,0,,,
The Ladies' Man,,100.0,67.0,,0,0,,,
The Yards,"Mark Wahlberg, Joaquin Phoenix",64.0,51.0,,0,0,,,
Cherry Falls,,63.0,41.0,,0,0,,,
Drunken Master II,,84.0,88.0,,0,0,,,
MVP: Most Valuable Primate,,40.0,41.0,,0,0,,,
Pay It Forward,,39.0,77.0,,0,0,,,
Book of Shadows: Blair Witch 2,,14.0,18.0,,0,0,,,47721314.0
The Little Vampire,,55.0,55.0,,0,0,,,
Loving Jezebel,,33.0,47.0,,0,0,,,
Lucky Numbers,,23.0,19.0,,0,0,,,
Requiem for a Dream,,78.0,93.0,Oscars - ACTRESS IN A LEADING ROLE(Nominated),1,0,,Oscars - ACTRESS IN A LEADING ROLE(Nominated),
Batman Beyond: Return of the Joker,,100.0,86.0,,0,0,,,
Mercy Streets,,13.0,55.0,,0,0,,,
Charlie's Angels,Cameron Diaz,68.0,45.0,"Golden Globes - Best Television Series - Drama(Nominated)
Golden Globes - Best Performance by an Actress In A Television Series - Drama(Nominated)
Golden Globes - Best Performance by an Actress In A Television Series - Drama(Nominated)
Golden Globes - Best Television Series - Drama(Nominated)
Golden Globes - Best Performance by an Actress In A Television Series - Drama(Nominated)
Golden Globes - Best Performance by an Actress In A Television Series - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television(Nominated)",7,0,,"Golden Globes - Best Television Series - Drama(Nominated)
Golden Globes - Best Performance by an Actress In A Television Series - Drama(Nominated)
Golden Globes - Best Performance by an Actress In A Television Series - Drama(Nominated)
Golden Globes - Best Television Series - Drama(Nominated)
Golden Globes - Best Performance by an Actress In A Television Series - Drama(Nominated)
Golden Globes - Best Performance by an Actress In A Television Series - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television(Nominated)",259736090.0
The Legend of Bagger Vance,"Will Smith, Matt Damon",43.0,65.0,,0,0,,,39235486.0
Little Nicky,Adam Sandler,22.0,55.0,,0,0,,,58270391.0
Men of Honor,Robert De Niro,42.0,81.0,,0,0,,,82339483.0
Red Planet,Carrie-Anne Moss,14.0,28.0,,0,0,,,33463969.0
You Can Count on Me,"Mark Ruffalo, Matthew Broderick",95.0,88.0,"Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen)(Nominated)",2,0,,"Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen)(Nominated)",
The 6th Day,,40.0,33.0,,0,0,,,96024898.0
Bounce,,53.0,33.0,,0,0,,,53425292.0
102 Dalmatians,,30.0,32.0,Oscars - COSTUME DESIGN(Nominated),1,0,,Oscars - COSTUME DESIGN(Nominated),66941559.0
Quills,"Joaquin Phoenix, Michael Caine",75.0,83.0,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - ART DIRECTION(Nominated)
Oscars - COSTUME DESIGN(Nominated)
BAFTAs - Film | Costume Design in 2001(Nominated)
BAFTAs - Film | Make-Up And Hair in 2001(Nominated)
BAFTAs - Film | Production Design in 2001(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",8,0,,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - ART DIRECTION(Nominated)
Oscars - COSTUME DESIGN(Nominated)
BAFTAs - Film | Costume Design in 2001(Nominated)
BAFTAs - Film | Make-Up And Hair in 2001(Nominated)
BAFTAs - Film | Production Design in 2001(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",
Unbreakable,Samuel L. Jackson,70.0,77.0,,0,0,,,248099143.0
Snatch,"Brad Pitt, Jason Statham",74.0,93.0,,0,0,,,83593107.0
Dungeons & Dragons,,9.0,20.0,,0,0,,,
Proof of Life,,39.0,43.0,,0,0,,,62761005.0
Vertical Limit,,49.0,41.0,,0,0,,,213500000.0
Disappearing Acts,,60.0,85.0,,0,0,,,
Holiday Heart,,67.0,92.0,Golden Globes - Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television(Nominated),1,0,,Golden Globes - Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television(Nominated),
Chocolat,"Johnny Depp, Carrie-Anne Moss",63.0,83.0,"Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Screenplay Based on Material Previously Produced or Published)(Nominated)
BAFTAs - Film | Adapted Screenplay in 2001(Nominated)
BAFTAs - Film | Cinematography in 2001(Nominated)
BAFTAs - Film | Costume Design in 2001(Nominated)
BAFTAs - Film | Make-Up And Hair in 2001(Nominated)
BAFTAs - Film | Production Design in 2001(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",14,0,,"Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Screenplay Based on Material Previously Produced or Published)(Nominated)
BAFTAs - Film | Adapted Screenplay in 2001(Nominated)
BAFTAs - Film | Cinematography in 2001(Nominated)
BAFTAs - Film | Costume Design in 2001(Nominated)
BAFTAs - Film | Make-Up And Hair in 2001(Nominated)
BAFTAs - Film | Production Design in 2001(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",152500343.0
