title,stars_in_movie,critic_score,audience_score,awards_all,nomination_count,award_count,awards_won,awards_nominated,worldwide_gross
The Little Drummer Girl,,56.0,60.0,,0,0,,,
The Razor's Edge,,56.0,71.0,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Won)
Oscars - ART DIRECTION (Black-and-White)(Nominated)
Oscars - BEST MOTION PICTURE(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Won)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Won)",6,3,"Oscars - ACTRESS IN A SUPPORTING ROLE(Won)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Won)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Won)","Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ART DIRECTION (Black-and-White)(Nominated)
Oscars - BEST MOTION PICTURE(Nominated)",
Stop Making Sense,,100.0,97.0,,0,0,,,
Thief of Hearts,,0.0,50.0,,0,0,,,
American Dreamer,,17.0,83.0,,0,0,,,
Body Double,,78.0,65.0,Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated),1,0,,Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated),
Firstborn,,36.0,53.0,,0,0,,,
Give My Regards to Broad Street,,25.0,30.0,,0,0,,,
"Paris, Texas",,94.0,93.0,"BAFTAs - Film | Adapted Screenplay in 1985(Nominated)
BAFTAs - Film | Direction in 1985(Won)
BAFTAs - Film | Film in 1985(Nominated)
BAFTAs - Film | Score For A Film in 1985(Nominated)",4,1,BAFTAs - Film | Direction in 1985(Won),"BAFTAs - Film | Adapted Screenplay in 1985(Nominated)
BAFTAs - Film | Film in 1985(Nominated)
BAFTAs - Film | Score For A Film in 1985(Nominated)",
The Terminator,,100.0,89.0,,0,0,,,78019031.0
Terror in the Aisles,,63.0,52.0,,0,0,,,
The Times of Harvey Milk,,96.0,94.0,Oscars - DOCUMENTARY (Feature)(Won),1,1,Oscars - DOCUMENTARY (Feature)(Won),,
