title,genres,critic_score,audience_score,awards_all,nomination_count,award_count,awards_won,awards_nominated,worldwide_gross
paternity,"Comedy,Romance",,25%,,0,0,,,"$18,838,000"
polyester,Comedy,94%,81%,,0,0,,,
possession,"Drama,Horror",63%,58%,,0,0,,,
prince of the city,"Crime,Drama",92%,82%,"Oscars - WRITING (Screenplay Based on Material from Another Medium) (Nominated)
Golden Globes - Best Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Nominated)
Golden Globes - Best Director - Motion Picture (Nominated)",4,0,,"Oscars - WRITING (Screenplay Based on Material from Another Medium) (Nominated)
Golden Globes - Best Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Nominated)
Golden Globes - Best Director - Motion Picture (Nominated)",
private lessons,Comedy,,,,0,0,,,"$18,066,774"
raggedy man,Drama,83%,57%,Golden Globes - Best Performance by an Actress in a Motion Picture - Drama (Nominated),1,0,,Golden Globes - Best Performance by an Actress in a Motion Picture - Drama (Nominated),
raiders of the lost ark,"Action,Adventure",93%,96%,"Oscars - ART DIRECTION (Won)
Oscars - CINEMATOGRAPHY (Nominated)
Oscars - DIRECTING (Nominated)
Oscars - FILM EDITING (Won)
Oscars - MUSIC (Original Score) (Nominated)
Oscars - BEST PICTURE (Nominated)
Oscars - SOUND (Won)
Oscars - VISUAL EFFECTS (Won)
Oscars - SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing) (Won)
Golden Globes - Best Director - Motion Picture (Nominated)",10,5,"Oscars - ART DIRECTION (Won)
Oscars - FILM EDITING (Won)
Oscars - SOUND (Won)
Oscars - VISUAL EFFECTS (Won)
Oscars - SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing) (Won)","Oscars - CINEMATOGRAPHY (Nominated)
Oscars - DIRECTING (Nominated)
Oscars - MUSIC (Original Score) (Nominated)
Oscars - BEST PICTURE (Nominated)
Golden Globes - Best Director - Motion Picture (Nominated)","$367,451,914"
reds,"Biography,Drama,History",90%,82%,"Oscars - ACTOR IN A LEADING ROLE (Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE (Nominated)
Oscars - ACTRESS IN A LEADING ROLE (Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE (Won)
Oscars - ART DIRECTION (Nominated)
Oscars - CINEMATOGRAPHY (Won)
Oscars - COSTUME DESIGN (Nominated)
Oscars - DIRECTING (Won)
Oscars - FILM EDITING (Nominated)
Oscars - BEST PICTURE (Nominated)
Oscars - SOUND (Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen) (Nominated)
BAFTAs - Film | Cinematography in 1983 (Nominated)
BAFTAs - Film | Costume Design in 1983 (Nominated)
BAFTAs - Film | Production Design in 1983 (Nominated)
Golden Globes - Best Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Nominated)
Golden Globes - Best Director - Motion Picture (Won)
Golden Globes - Best Screenplay - Motion Picture (Nominated)",22,4,"Oscars - ACTRESS IN A SUPPORTING ROLE (Won)
Oscars - CINEMATOGRAPHY (Won)
Oscars - DIRECTING (Won)
Golden Globes - Best Director - Motion Picture (Won)","Oscars - ACTOR IN A LEADING ROLE (Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE (Nominated)
Oscars - ACTRESS IN A LEADING ROLE (Nominated)
Oscars - ART DIRECTION (Nominated)
Oscars - COSTUME DESIGN (Nominated)
Oscars - FILM EDITING (Nominated)
Oscars - BEST PICTURE (Nominated)
Oscars - SOUND (Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen) (Nominated)
BAFTAs - Film | Cinematography in 1983 (Nominated)
BAFTAs - Film | Costume Design in 1983 (Nominated)
BAFTAs - Film | Production Design in 1983 (Nominated)
Golden Globes - Best Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Nominated)
Golden Globes - Best Screenplay - Motion Picture (Nominated)","$50,000,130"
rich and famous,Drama,,59%,,0,0,,,
rollover,"Drama,Mystery,Romance",70%,33%,,0,0,,,
