primaryTitle,originalTitle,genres,critic_score,audience_score
The Wolf of Wall Street,the wolf of wall street,Drama,63%,
All Quiet on the Western Front,all quiet on the western front,"Drama,War",98%,89%
Animal Crackers,animal crackers,"Comedy,Family,Musical",97%,89%
Borderline,borderline,Drama,,71%
Conspiracy,conspiracy,"Comedy,Crime,Mystery",,19%
Holiday,holiday,"Comedy,Drama",100%,89%
Honey,honey,"Comedy,Musical",21%,71%
Hurricane,hurricane,Drama,,
Hurricane,hurricane,Drama,88%,78%
Just Like Heaven,just like heaven,"Drama,Romance",54%,75%
Love at First Sight,love at first sight,"Comedy,Musical",,0%
Man Trouble,man trouble,"Crime,Drama,Music",7%,14%
The Mighty,the mighty,"Action,Drama",75%,79%
Only the Brave,only the brave,"Action,Drama,Mystery",,
Sisters,sisters,"Crime,Drama,Romance",,
Aloha,aloha,"Drama,Romance",,
Black and White,black and white,,,
Caught,caught,"Romance,Western",,
The Champ,the champ,"Drama,Family,Sport",96%,76%
Just a Gigolo,just a gigolo,"Comedy,Romance",33%,38%
Daybreak,daybreak,Drama,,
Doctors' Wives,doctors' wives,Drama,20%,
Dracula,dracula,"Drama,Fantasy,Horror",,39%
The Front Page,the front page,"Comedy,Crime,Drama",,
The Iron Man,iron man,"Drama,Romance",94%,91%
Ladies' Man,ladies' man,Drama,,
Maid to Order,maid to order,"Comedy,Mystery",42%,55%
Out of the Blue,out of the blue,Musical,,40%
Rebound,rebound,Drama,14%,38%
The Skin Game,the skin game,Drama,,
Skyline,skyline,Drama,,
Unfaithful,unfaithful,"Drama,Romance",50%,68%
Baby,baby,"Comedy,Musical",,
Big Town,big town,"Crime,Drama",,
The Boiling Point,the boiling point,Western,,
Deception,deception,Drama,53%,21%
Exposed,exposed,"Crime,Drama",,
The Intruder,the intruder,"Crime,Drama,Mystery",,
The Last Ride,the last ride,"Crime,Drama",,59%
Love Affair,love affair,"Drama,Romance",,
Money for Nothing,money for nothing,Comedy,20%,31%
The Mummy,the mummy,"Fantasy,Horror",62%,75%
Once Bitten,once bitten,Comedy,10%,39%
Partners,partners,Western,,
Scarface,scarface,"Action,Crime,Drama",79%,93%
The Stoker,the stoker,Drama,,
That's My Boy,that's my boy,"Drama,Romance,Sport",,
Bed of Roses,bed of roses,"Comedy,Drama,Romance",19%,67%
Blood Money,blood money,"Drama,Film-Noir,Romance",,
Bombshell,bombshell,"Comedy,Drama,Mystery",,0%
Death Watch,death watch,,73%,59%
Friday the Thirteenth,friday the thirteenth,"Comedy,Drama",,47%
The Fugitive,the fugitive,"Drama,Western",,
The Invisible Man,the invisible man,"Horror,Sci-Fi",,
Just My Luck,just my luck,Comedy,14%,48%
King Kong,king kong,"Adventure,Horror",84%,50%
The Man from Toronto,the man from toronto,"Comedy,Romance",,
Morning Glory,morning glory,"Drama,Romance",64%,45%
All of Me,all of me,"Drama,Romance",,
Beloved,beloved,"Drama,Musical",,
Big Business,big business,Comedy,52%,69%
Blind Justice,blind justice,"Crime,Thriller",,
Blue Steel,blue steel,"Drama,Western",,36%
Dangerous Ground,dangerous ground,Mystery,8%,35%
Dirty Work,dirty work,"Comedy,Crime,Romance",,
The Fountain,the fountain,"Drama,Romance",53%,74%
I Spy,i spy,"Comedy,Drama,Romance",15%,33%
Little Miss Marker,little miss marker,"Adventure,Comedy,Drama",89%,73%
Maniac,maniac,"Horror,Sci-Fi",,
Million Dollar Baby,million dollar baby,"Comedy,Drama,Music",90%,90%
No Escape,no escape,Drama,59%,41%
The Painted Veil,the painted veil,"Drama,Romance",74%,85%
The Pursuit of Happiness,the pursuit of happiness,"Comedy,Romance",,
The Pursuit of Happiness,the pursuit of happiness,"Comedy,Romance",,33%
Call of the Wild,the call of the wild,"Adventure,Drama,Family",,
Crime and Punishment,crime and punishment,"Crime,Drama",,
Dangerous,dangerous,"Drama,Romance",29%,68%
A Dog of Flanders,a dog of flanders,"Drama,Family",,
Enchanted April,enchanted april,"Comedy,Drama,Romance",85%,84%
Frisco Kid,frisco kid,"Action,Adventure,Crime",,29%
Home on the Range,home on the range,"Action,Drama,Romance",52%,29%
Mad Love,mad love,"Horror,Romance,Sci-Fi",,
Metropolitan,metropolitan,"Drama,Musical,Romance",93%,84%
A Midsummer Night's Dream,a midsummer night's dream,"Comedy,Fantasy,Romance",,
Opening Night,opening night,Musical,96%,90%
Reckless,reckless,"Comedy,Drama,Musical",,44%
Scrooge,scrooge,"Drama,Family,Fantasy",,
The Silver Bullet,the silver bullet,Western,,
The Silver Streak,the silver streak,Drama,,
Suicide Squad,suicide squad,"Action,Drama,Romance",,50%
Windfall,windfall,Drama,,29%
The Woman in Red,the woman in red,Drama,,33%
The Woman in Red,the woman in red,Drama,32%,39%
Viennese Love Song,faithful,Musical,6%,49%
Fame,fame,Comedy,81%,69%
Frankie and Johnnie,frankie and johnnie,"Drama,Musical",,
Head Office,head office,Drama,0%,28%
Hollywood Boulevard,hollywood boulevard,"Drama,Romance",,46%
Jenny,jenny,Drama,,
Juggernaut,juggernaut,Mystery,80%,56%
Love on the Run,love on the run,"Comedy,Fantasy,Romance",,
Shakedown,shakedown,"Action,Crime,Drama",,
The Demon Barber of Fleet Street,sweeney todd: the demon barber of fleet street,"Crime,Drama",,86%
Tango,tango,Drama,,
Ticket to Paradise,ticket to paradise,"Adventure,Comedy,Crime",,
Trouble Ahead,falling in love,Comedy,54%,63%
The Walking Dead,the walking dead,"Crime,Drama,Horror",,57%
Angel,angel,"Comedy,Drama,Romance",,
Ghost Town,ghost town,Western,100%,
Hideaway,hideaway,"Comedy,Romance",,
The Hurricane,the hurricane,"Action,Adventure,Drama",,
It Could Happen to You,it could happen to you,"Action,Adventure,Crime",,
Lost Horizon,lost horizon,"Adventure,Drama,Fantasy",93%,82%
Over the Moon,over the moon,Comedy,,33%
Snow White and the Seven Dwarfs,snow white and the seven dwarfs,"Adventure,Animation,Family",97%,78%
A Star Is Born,a star is born,"Drama,Romance",90%,80%
Trapped,trapped,Western,,
Born to Be Wild,born to be wild,"Action,Comedy,Drama",,
A Christmas Carol,a christmas carol,"Drama,Family,Fantasy",,
