primaryTitle,originalTitle,genres,critic_score,audience_score
While You Were Sleeping,while you were sleeping,"Comedy,Drama,Romance",81%,79%
The Wife,the wife,"Comedy,Drama",,
The Wife,the wife,"Comedy,Drama",,93%
Wigstock: The Movie,wigstock: the movie,Documentary,80%,71%
Wild Bill,wild bill,"Action,Biography,Drama",46%,27%
The Young Poisoner's Handbook,the young poisoner's handbook,"Comedy,Crime,Drama",87%,84%
2 Days in the Valley,2 days in the valley,"Comedy,Crime,Thriller",60%,54%
Adrenalin: Fear the Rush,adrenalin: fear the rush,"Action,Sci-Fi,Thriller",0%,28%
Albino Alligator,albino alligator,"Crime,Drama,Thriller",50%,42%
All Dogs Go to Heaven 2,all dogs go to heaven 2,"Adventure,Animation,Family",20%,39%
American Buffalo,american buffalo,Drama,74%,46%
The Associate,the associate,Comedy,,
Bad Moon,bad moon,"Horror,Thriller",30%,46%
Basquiat,basquiat,"Biography,Drama",67%,77%
Bastard Out of Carolina,bastard out of carolina,Drama,100%,84%
Beautiful Girls,beautiful girls,"Comedy,Drama,Romance",78%,80%
Beavis and Butt-Head Do America,beavis and butt-head do america,"Adventure,Animation,Comedy",71%,70%
Before and After,before and after,"Crime,Drama,Mystery",,
Big Bully,big bully,"Comedy,Thriller",0%,20%
Big Night,big night,"Drama,Romance",97%,84%
Bio-Dome,bio-dome,Comedy,4%,51%
The Birdcage,the birdcage,Comedy,84%,81%
Blood and Wine,blood and wine,"Crime,Drama,Thriller",63%,36%
Bogus,bogus,"Comedy,Family,Fantasy",41%,45%
Bottle Rocket,bottle rocket,"Comedy,Crime,Drama",86%,79%
Bound,bound,"Crime,Thriller",87%,83%
Box of Moonlight,box of moonlight,"Comedy,Drama",61%,81%
Breaking the Waves,breaking the waves,Drama,84%,91%
Broken English,broken english,"Drama,Romance",64%,62%
The Cable Guy,the cable guy,"Comedy,Drama,Thriller",55%,51%
Carpool,carpool,Comedy,,
Carried Away,carried away,"Drama,Romance",,40%
Celtic Pride,celtic pride,"Comedy,Sport",12%,32%
Chain Reaction,chain reaction,"Action,Drama,Sci-Fi",,
The Chamber,the chamber,"Crime,Drama,Thriller",12%,39%
Children of the Revolution,children of the revolution,"Comedy,Drama,Romance",79%,72%
Citizen Ruth,citizen ruth,"Comedy,Drama",81%,74%
City Hall,city hall,"Crime,Drama,Mystery",58%,37%
Commandments,commandments,"Comedy,Drama,Romance",24%,37%
Courage Under Fire,courage under fire,"Action,Drama,Mystery",86%,66%
The Craft,the craft,"Drama,Fantasy,Horror",57%,65%
D3: The Mighty Ducks,d3: the mighty ducks,"Action,Comedy,Drama",20%,45%
Daylight,daylight,"Action,Adventure,Drama",26%,37%
The Daytrippers,the daytrippers,"Comedy,Drama",74%,74%
Dear God,dear god,Comedy,12%,28%
Diabolique,diabolique,"Drama,Horror,Mystery",23%,40%
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,don't be a menace to south central while drinking your juice in the hood,"Comedy,Crime",32%,80%
Down Periscope,down periscope,Comedy,11%,62%
DragonHeart,dragonheart,"Action,Adventure,Fantasy",50%,60%
Dream for an Insomniac,dream for an insomniac,"Comedy,Drama,Romance",50%,75%
Dunston Checks In,dunston checks in,"Adventure,Comedy,Family",17%,41%
Ed,ed,"Comedy,Family,Sport",6%,22%
Ed's Next Move,ed's next move,"Comedy,Romance",80%,25%
Eddie,eddie,"Comedy,Sport",16%,36%
The English Patient,the english patient,"Drama,Romance,War",86%,83%
Entertaining Angels: The Dorothy Day Story,entertaining angels: the dorothy day story,"Biography,Drama,Romance",50%,69%
Eraser,eraser,"Action,Crime,Thriller",43%,40%
The Evening Star,the evening star,"Comedy,Drama,Romance",20%,61%
Everyone Says I Love You,everyone says i love you,"Comedy,Musical,Romance",77%,68%
Evita,evita,"Biography,Drama,History",64%,68%
Executive Decision,executive decision,"Action,Adventure,Thriller",62%,53%
Extreme Measures,extreme measures,"Crime,Drama,Mystery",56%,41%
Eye for an Eye,eye for an eye,"Crime,Drama,Thriller",,
A Family Thing,a family thing,"Comedy,Drama",,
Feeling Minnesota,feeling minnesota,"Comedy,Crime,Drama",14%,27%
Female Perversions,female perversions,"Drama,Fantasy,Thriller",71%,45%
First Kid,first kid,"Comedy,Family",20%,32%
The First Wives Club,the first wives club,Comedy,50%,68%
Fled,fled,"Action,Adventure,Comedy",18%,23%
Flirting with Disaster,flirting with disaster,Comedy,88%,69%
Fly Away Home,fly away home,"Adventure,Drama,Family",88%,70%
The Frighteners,the frighteners,"Comedy,Drama,Fantasy",67%,71%
From Dusk Till Dawn,from dusk till dawn,"Action,Crime,Horror",63%,76%
The Funeral,the funeral,"Crime,Drama",80%,68%
Get Over It,get over it,"Comedy,Drama",43%,51%
Get on the Bus,get on the bus,"Adventure,Drama,History",89%,71%
Getting Away with Murder,getting away with murder,Comedy,0%,20%
The Ghost and the Darkness,the ghost and the darkness,"Adventure,Drama,Thriller",50%,75%
Ghosts of Mississippi,ghosts of mississippi,"Drama,History",43%,62%
Girl 6,girl 6,"Comedy,Drama",39%,36%
The Glimmer Man,the glimmer man,"Action,Comedy,Crime",11%,38%
Good Luck,good luck,"Comedy,Drama",,63%
Grace of My Heart,grace of my heart,"Comedy,Drama,Music",79%,79%
The Great White Hype,the great white hype,"Comedy,Sport",42%,35%
Happy Gilmore,happy gilmore,"Comedy,Sport",62%,85%
Head Above Water,head above water,"Comedy,Thriller",40%,44%
Heaven's Prisoners,heaven's prisoners,"Drama,Mystery,Thriller",16%,31%
Hellraiser: Bloodline,hellraiser: bloodline,"Horror,Sci-Fi",25%,36%
High School High,high school high,"Comedy,Crime,Romance",19%,37%
House Arrest,house arrest,"Comedy,Family",,
Hype!,hype!,"Documentary,History,Music",93%,87%
I Shot Andy Warhol,i shot andy warhol,"Biography,Drama",77%,70%
I'm Not Rappaport,i'm not rappaport,"Comedy,Drama",38%,60%
If Lucy Fell,if lucy fell,"Comedy,Romance",18%,52%
Infinity,infinity,"Biography,Drama",,
James and the Giant Peach,james and the giant peach,"Adventure,Animation,Family",91%,66%
Jerry Maguire,jerry maguire,"Comedy,Drama,Romance",84%,79%
Jingle All the Way,jingle all the way,"Adventure,Comedy,Family",20%,41%
Joe's Apartment,joe's apartment,"Comedy,Fantasy,Musical",21%,42%
Johns,johns,"Drama,Romance",54%,57%
Jude,jude,"Drama,Romance",81%,73%
The Juror,the juror,"Crime,Drama,Thriller",22%,31%
Kansas City,kansas city,"Crime,Drama,Music",60%,43%
Kazaam,kazaam,"Comedy,Family,Fantasy",5%,20%
Keys to Tulsa,keys to tulsa,"Crime,Drama,Thriller",10%,23%
Kids in the Hall: Brain Candy,kids in the hall: brain candy,Comedy,44%,77%
Killers,killers,"Action,Horror,Thriller",,
Kingpin,kingpin,"Comedy,Sport",,67%
Larger Than Life,larger than life,"Comedy,Family",11%,30%
A Leap of Faith,a leap of faith,Documentary,,
Life,life,Drama,52%,77%
The Long Kiss Goodnight,the long kiss goodnight,"Action,Crime,Drama",68%,70%
Looking for Richard,looking for richard,"Documentary,Drama",83%,79%
Lost Highway,lost highway,"Drama,Mystery,Thriller",69%,87%
Mad Dog Time,mad dog time,"Comedy,Crime,Drama",17%,48%
Mandela,mandela,"Biography,Documentary,History",,82%
Manny & Lo,manny & lo,"Comedy,Drama",61%,63%
Mars Attacks!,mars attacks!,"Comedy,Sci-Fi",56%,53%
Marvin's Room,marvin's room,Drama,84%,63%
Mary Reilly,mary reilly,"Drama,Horror,Romance",26%,40%
Maximum Risk,maximum risk,"Action,Crime,Thriller",34%,35%
Mercy,mercy,"Crime,Drama,Thriller",,17%
Michael Collins,michael collins,"Biography,Drama,History",78%,84%
The Mirror Has Two Faces,the mirror has two faces,"Comedy,Drama,Romance",,
The Mirror Has Two Faces,the mirror has two faces,"Comedy,Drama,Romance",54%,71%
"Mirror, Mirror","mirror, mirror","Biography,Documentary",80%,31%
Mission: Impossible,mission: impossible,"Action,Adventure,Thriller",65%,71%
Mother Night,mother night,"Drama,Romance,War",64%,75%
Mrs. Winterbourne,mrs. winterbourne,"Comedy,Drama,Romance",15%,63%
Death in Granada,the disappearance of garcia lorca,"Biography,Drama,Mystery",29%,57%
Mulholland Falls,mulholland falls,"Crime,Drama,Mystery",31%,39%
Multiplicity,multiplicity,"Comedy,Romance,Sci-Fi",45%,49%
Muppet Treasure Island,muppet treasure island,"Action,Adventure,Comedy",71%,77%
My Fellow Americans,my fellow americans,"Adventure,Comedy",47%,64%
Mystery Science Theater 3000: The Movie,mystery science theater 3000: the movie,"Comedy,Drama,Fantasy",80%,88%
One Fine Day,one fine day,"Comedy,Drama,Romance",,
The Open Road,the open road,,,
The Open Road,the open road,,29%,25%
Original Gangstas,original gangstas,"Action,Crime,Drama",53%,48%
Outsider,outsider,Drama,,
The Pallbearer,the pallbearer,"Comedy,Romance",48%,18%
Palookaville,palookaville,"Comedy,Crime",64%,63%
The People vs. Larry Flynt,the people vs. larry flynt,"Biography,Drama",88%,80%
Pepper's Pow Wow,pepper's pow wow,Documentary,100%,85%
Phat Beach,phat beach,Comedy,,45%
Phenomenon,phenomenon,"Drama,Fantasy,Romance",49%,59%
The Pompatus of Love,the pompatus of love,"Comedy,Drama,Romance",17%,23%
Ponette,ponette,Drama,92%,91%
The Preacher's Wife,the preacher's wife,"Comedy,Drama,Fantasy",62%,43%
The Prince,the prince,Drama,,
The Proprietor,the proprietor,Drama,,
Pusher,pusher,"Crime,Thriller",83%,85%
Race the Sun,race the sun,"Adventure,Comedy,Drama",22%,41%
The Rich Man's Wife,the rich man's wife,"Drama,Thriller",13%,39%
Ridicule,ridicule,"Comedy,Drama,History",80%,84%
Ringer,ringer,"Drama,Thriller",,
The Rock,the rock,"Action,Adventure,Thriller",,
Screwed,screwed,Documentary,,
Secrets & Lies,secrets & lies,"Comedy,Drama",96%,91%
Set It Off,set it off,"Action,Crime,Drama",70%,89%
Sgt. Bilko,sgt. bilko,Comedy,30%,47%
She's the One,she's the one,"Comedy,Drama,Romance",62%,41%
Shine,shine,"Biography,Drama,Music",91%,90%
Sling Blade,sling blade,Drama,97%,92%
Some Mother's Son,some mother's son,"Drama,History",71%,86%
Space Jam,space jam,"Adventure,Animation,Comedy",43%,63%
The Spitfire Grill,the spitfire grill,Drama,38%,76%
Spy Hard,spy hard,"Action,Comedy",7%,31%
Star Trek: First Contact,star trek: first contact,"Action,Adventure,Drama",93%,89%
Stealing Beauty,stealing beauty,"Drama,Mystery,Romance",50%,75%
The Stupids,the stupids,"Adventure,Comedy",21%,37%
The Substitute,the substitute,"Action,Crime,Drama",,
The Substitute,the substitute,"Action,Crime,Drama",,47%
Sunset Park,sunset park,"Drama,Sport",13%,83%
Surviving Picasso,surviving picasso,"Biography,Drama,Romance",35%,60%
Swingers,swingers,"Comedy,Drama",88%,89%
Tangled,tangled,Drama,89%,87%
That Thing You Do!,that thing you do!,"Comedy,Drama,Music",93%,78%
"This World, Then the Fireworks","this world, then the fireworks","Crime,Drama",38%,43%
A Time to Kill,a time to kill,"Crime,Drama,Thriller",,
Tin Cup,tin cup,"Comedy,Drama,Romance",72%,65%
To Gillian on Her 37th Birthday,to gillian on her 37th birthday,"Drama,Fantasy,Romance",14%,41%
Trainspotting,trainspotting,Drama,90%,93%
Trees Lounge,trees lounge,"Comedy,Drama",81%,78%
The Trigger Effect,the trigger effect,"Drama,Thriller",73%,43%
The Truth About Cats & Dogs,the truth about cats & dogs,"Comedy,Romance",85%,57%
Two Much,two much,"Comedy,Romance",14%,35%
Two If by Sea,two if by sea,"Comedy,Crime,Romance",13%,23%
Unforgettable,unforgettable,"Drama,Mystery,Sci-Fi",24%,49%
Unhook the Stars,unhook the stars,"Drama,Romance",81%,47%
Up Close & Personal,up close & personal,"Drama,Romance",32%,66%
Waiting for Guffman,waiting for guffman,Comedy,91%,91%
Walking and Talking,walking and talking,"Comedy,Drama,Romance",88%,70%
Wedding Bell Blues,wedding bell blues,"Comedy,Romance",40%,47%
When We Were Kings,when we were kings,"Documentary,Sport",98%,94%
White Squall,white squall,"Adventure,Drama",57%,65%
The Whole Wide World,the whole wide world,"Biography,Drama,Romance",76%,73%
Dead Man on Campus,dead man on campus,Comedy,15%,55%
'Til There Was You,'til there was you,"Comedy,Romance",5%,35%
One Eight Seven,one eight seven,"Drama,Thriller",30%,67%
3 Ninjas: High Noon at Mega Mountain,3 ninjas: high noon at mega mountain,"Action,Adventure,Comedy",0%,29%
4 Little Girls,4 little girls,"Documentary,History",100%,89%
8 Heads in a Duffel Bag,8 heads in a duffel bag,"Adventure,Comedy,Crime",10%,35%
Absolute Power,absolute power,"Action,Crime,Drama",56%,52%
Addicted to Love,addicted to love,"Comedy,Romance",55%,50%
Affliction,affliction,"Drama,Mystery,Thriller",88%,72%
Afterglow,afterglow,"Comedy,Drama,Romance",77%,63%
Air Bud,air bud,"Comedy,Drama,Family",48%,38%
Air Force One,air force one,"Action,Crime,Drama",79%,66%
Alien Resurrection,alien resurrection,"Action,Horror,Sci-Fi",55%,39%
Glitter,glitter,"Drama,Music,Romance",6%,48%
An American Affair,an american affair,Drama,,
Amistad,amistad,"Biography,Drama,History",78%,79%
Anaconda,anaconda,"Action,Adventure,Horror",41%,24%
The Apostle,the apostle,Drama,88%,79%
Apt Pupil,apt pupil,"Crime,Drama,Thriller",54%,56%
The Assignment,the assignment,"Action,Crime,Thriller",,
The Assistant,the assistant,"Crime,Drama,Romance",,
Austin Powers: International Man of Mystery,austin powers: international man of mystery,"Adventure,Comedy",73%,77%
Babel,babel,"Adventure,Family,Fantasy",69%,77%
Baby Geniuses,baby geniuses,"Comedy,Crime,Family",2%,25%
Bandits,bandits,"Drama,Music",64%,58%
Bean,bean,"Adventure,Comedy,Family",43%,53%
The Beautician and the Beast,the beautician and the beast,"Comedy,Romance",22%,46%
Bent,bent,"Drama,History,Romance",,43%
Best Men,best men,"Action,Comedy,Crime",13%,40%
Beverly Hills Ninja,beverly hills ninja,"Action,Comedy",13%,53%
The Big Empty,the big empty,"Comedy,Drama,Mystery",,
The Big Lebowski,the big lebowski,"Comedy,Crime",80%,93%
Blues Brothers 2000,blues brothers 2000,"Action,Comedy,Crime",46%,37%
Boogie Nights,boogie nights,Drama,94%,89%
Booty Call,booty call,"Comedy,Romance",31%,59%
Border,border,"Action,Drama,History",,
The Borrowers,the borrowers,"Adventure,Comedy,Family",,29%
The Borrowers,the borrowers,"Adventure,Comedy,Family",,53%
The Boxer,the boxer,"Drama,Romance,Sport",81%,74%
The Boxer,the boxer,"Drama,Romance,Sport",,14%
Glória,glória,Drama,,
A Brother's Kiss,a brother's kiss,Drama,100%,68%
Buddy,buddy,"Adventure,Comedy,Drama",,80%
Bulworth,bulworth,"Comedy,Drama,Romance",76%,68%
Career Girls,career girls,"Comedy,Drama",88%,78%
Cats Don't Dance,cats don't dance,"Animation,Comedy,Family",71%,80%
Chairman of the Board,chairman of the board,Comedy,11%,20%
Chasing Amy,chasing amy,"Comedy,Drama,Romance",87%,83%
Chinese Box,chinese box,"Drama,Romance",64%,54%
City of Industry,city of industry,"Crime,Drama,Thriller",43%,39%
Clay Pigeons,clay pigeons,"Comedy,Crime",61%,68%
Clockwatchers,clockwatchers,"Comedy,Drama",86%,61%
Con Air,con air,"Action,Crime,Thriller",58%,75%
Conspiracy Theory,conspiracy theory,"Action,Drama,Mystery",57%,64%
Contact,contact,"Drama,Mystery,Sci-Fi",,
Cop Land,cop land,"Crime,Drama,Thriller",75%,67%
Dangerous Beauty,dangerous beauty,"Biography,Drama,Romance",70%,85%
Cousin Bette,cousin bette,"Comedy,Drama,Romance",,
Gang Related,gang related,"Action,Crime,Drama",50%,65%
Critical Care,critical care,"Comedy,Drama",59%,30%
The Dancer Upstairs,the dancer upstairs,"Crime,Drama,Thriller",64%,76%
Dante's Peak,dante's peak,"Action,Adventure,Thriller",28%,38%
Deconstructing Harry,deconstructing harry,Comedy,73%,82%
Deep Rising,deep rising,"Action,Adventure,Horror",36%,43%
The Devil's Advocate,the devil's advocate,"Drama,Fantasy,Mystery",63%,80%
The Devil's Own,the devil's own,"Action,Crime,Drama",37%,41%
Donnie Brasco,donnie brasco,"Biography,Crime,Drama",88%,89%
Double Take,double take,Thriller,,
Double Team,double team,"Action,Comedy,Sci-Fi",11%,25%
Dream with the Fishes,dream with the fishes,"Comedy,Drama",61%,85%
The Education of Little Tree,the education of little tree,Drama,59%,75%
Almost Heroes,almost heroes,"Adventure,Comedy,Western",5%,64%
Eight Days a Week,eight days a week,"Comedy,Romance",20%,68%
The End of Violence,the end of violence,"Drama,Thriller",29%,43%
Eve's Bayou,eve's bayou,Drama,83%,89%
Event Horizon,event horizon,"Horror,Sci-Fi,Thriller",35%,61%
The Ex,the ex,Thriller,19%,32%
Face/Off,face/off,"Action,Crime,Sci-Fi",93%,82%
Fall,fall,"Drama,Romance",79%,79%
Fallen,fallen,"Action,Crime,Drama",,98%
"Fast, Cheap & Out of Control","fast, cheap & out of control",Documentary,91%,84%
Fathers' Day,fathers' day,"Comedy,Romance",25%,26%
Fierce Creatures,fierce creatures,Comedy,53%,58%
The Fifth Element,the fifth element,"Action,Adventure,Sci-Fi",71%,86%
Flubber,flubber,"Comedy,Family,Sci-Fi",23%,33%
For Richer or Poorer,for richer or poorer,"Comedy,Romance",13%,46%
Free Willy 3: The Rescue,free willy 3: the rescue,"Adventure,Drama,Family",44%,44%
The Full Monty,the full monty,"Comedy,Drama",96%,79%
Full Tilt Boogie,full tilt boogie,Documentary,87%,64%
Gattaca,gattaca,"Drama,Sci-Fi,Thriller",82%,87%
The Gingerbread Man,the gingerbread man,"Crime,Mystery,Thriller",60%,26%
Going All the Way,going all the way,"Comedy,Drama,Romance",65%,25%
Switchback,switchback,"Crime,Mystery,Thriller",31%,46%
Gone Fishin',gone fishin',"Comedy,Crime",4%,37%
Good Burger,good burger,"Comedy,Family",33%,63%
Good Will Hunting,good will hunting,"Drama,Romance",97%,94%
Goodbye Lover,goodbye lover,"Comedy,Crime,Mystery",29%,38%
Gridlock'd,gridlock'd,"Comedy,Crime,Drama",88%,79%
Snow White: A Tale of Terror,snow white: a tale of terror,"Adventure,Fantasy,Horror",55%,56%
Grind,grind,"Drama,Romance",,72%
Grosse Pointe Blank,grosse pointe blank,"Action,Comedy,Crime",82%,86%
Heavy Metal 2000,heavy metal 2000,"Action,Adventure,Animation",8%,36%
Chicago Cab,chicago cab,"Comedy,Drama",56%,66%
Home Alone 3,home alone 3,"Action,Comedy,Crime",32%,27%
Home Fries,home fries,"Comedy,Drama,Romance",31%,34%
Homegrown,homegrown,"Comedy,Crime,Drama",44%,50%
Hoodlum,hoodlum,"Crime,Drama",,20%
Hope Floats,hope floats,"Drama,Romance",27%,72%
The Horse Whisperer,the horse whisperer,"Drama,Romance,Western",73%,72%
The House of Yes,the house of yes,"Comedy,Drama,Thriller",62%,76%
Hurlyburly,hurlyburly,"Comedy,Drama",58%,65%
I Know What You Did Last Summer,i know what you did last summer,"Horror,Mystery",46%,41%
The Ice Storm,the ice storm,Drama,86%,82%
In & Out,in & out,"Comedy,Romance",73%,52%
In the Company of Men,in the company of men,"Comedy,Drama",89%,80%
The Informant,the informant,"Drama,Thriller",,43%
Inventing the Abbotts,inventing the abbotts,"Drama,Romance",36%,51%
The Jackal,the jackal,"Action,Crime,Drama",24%,51%
Jackie Brown,jackie brown,"Crime,Drama,Thriller",88%,85%
Julian Po,julian po,"Comedy,Drama",,67%
Jungle 2 Jungle,jungle 2 jungle,"Comedy,Family",19%,33%
"Kiss Me, Guido","kiss me, guido",Comedy,38%,40%
Kiss the Girls,kiss the girls,"Crime,Drama,Mystery",34%,62%
Kull the Conqueror,kull the conqueror,"Action,Adventure,Fantasy",25%,24%
Kundun,kundun,"Biography,Drama,History",74%,78%
L.A. Confidential,l.a. confidential,"Crime,Drama,Mystery",99%,94%
The Land Girls,the land girls,"Drama,Romance,War",61%,52%
The Last Time I Committed Suicide,the last time i committed suicide,"Biography,Drama,Romance",,43%
Leave It to Beaver,leave it to beaver,"Comedy,Family",21%,32%
Liar Liar,liar liar,"Comedy,Fantasy",83%,75%
Lift,lift,Sci-Fi,,
The Locusts,the locusts,Drama,20%,46%
The Lost World: Jurassic Park,the lost world: jurassic park,"Action,Adventure,Sci-Fi",53%,51%
Love Jones,love jones,"Comedy,Drama,Romance",76%,97%
Love! Valour! Compassion!,love! valour! compassion!,"Comedy,Drama,Romance",71%,77%
Mad City,mad city,"Crime,Drama,Thriller",33%,42%
Twilight,twilight,"Crime,Drama,Mystery",49%,72%
Masterminds,masterminds,"Action,Comedy,Thriller",19%,49%
Meet Joe Black,meet joe black,"Drama,Fantasy,Romance",46%,81%
Meet Wally Sparks,meet wally sparks,Comedy,13%,31%
Men in Black,men in black,"Action,Adventure,Comedy",91%,80%
Metro,metro,"Action,Comedy,Crime",,
Midnight in the Garden of Good and Evil,midnight in the garden of good and evil,"Crime,Drama,Mystery",50%,65%
Mimic,mimic,"Horror,Sci-Fi",65%,37%
Most Wanted,most wanted,"Action,Thriller",,
Mr. Magoo,mr. magoo,"Adventure,Comedy,Family",9%,24%
Murder at 1600,murder at 1600,"Action,Crime,Drama",32%,43%
Music from Another Room,music from another room,"Comedy,Drama,Romance",43%,67%
My Best Friend's Wedding,my best friend's wedding,"Comedy,Drama,Romance",74%,73%
My Son the Fanatic,my son the fanatic,"Comedy,Drama,Romance",79%,75%
The Myth of Fingerprints,the myth of fingerprints,"Comedy,Drama,Romance",60%,56%
Next Stop Wonderland,next stop wonderland,"Comedy,Drama,Romance",73%,74%
Night Falls on Manhattan,night falls on manhattan,"Crime,Drama,Mystery",71%,64%
Nil by Mouth,nil by mouth,Drama,77%,87%
Monument Ave.,snitch,"Crime,Drama,Thriller",90%,67%
Nowhere,nowhere,"Comedy,Drama,Sci-Fi",47%,76%
As Good as It Gets,as good as it gets,"Comedy,Drama,Romance",86%,86%
Oscar and Lucinda,oscar and lucinda,"Drama,Romance",67%,65%
Out to Sea,out to sea,"Comedy,Romance",36%,52%
Paradise Road,paradise road,"Drama,History,War",43%,78%
Phantoms,phantoms,"Horror,Sci-Fi,Thriller",10%,28%
Plan B,plan b,"Comedy,Romance",,
The Players Club,the players club,"Comedy,Drama",35%,85%
Playing God,playing god,"Crime,Drama,Thriller",16%,33%
Polish Wedding,polish wedding,"Comedy,Drama,Romance",42%,52%
The Postman,the postman,"Action,Adventure,Drama",14%,51%
Without Limits,without limits,"Biography,Drama,Sport",79%,91%
Prefontaine,prefontaine,"Biography,Drama,Romance",56%,78%
Primary Colors,primary colors,"Comedy,Drama",80%,64%
Prometheus,prometheus,"Drama,Family,Fantasy",,
The Proposition,the proposition,"Adventure,Drama,Romance",85%,85%
The Real Blonde,the real blonde,"Comedy,Drama,Romance",34%,37%
Caught Up,caught up,"Crime,Drama,Thriller",0%,54%
Red Corner,red corner,"Crime,Drama,Thriller",27%,48%
The Relic,the relic,"Horror,Mystery,Sci-Fi",37%,34%
Remember Me?,remember me?,Comedy,,
The Replacement Killers,the replacement killers,"Action,Crime,Thriller",37%,47%
RocketMan,rocketman,"Comedy,Family,Sci-Fi",,
Romy and Michele's High School Reunion,romy and michele's high school reunion,Comedy,75%,65%
Rosewood,rosewood,"Action,Drama,History",87%,83%
Safe House,safe house,"Drama,Thriller",,
The Saint,the saint,"Action,Adventure,Romance",,
The Saint,the saint,"Action,Adventure,Romance",30%,63%
Scream 2,scream 2,"Horror,Mystery",82%,58%
Selena,selena,"Biography,Drama,Music",66%,78%
Shadow Conspiracy,shadow conspiracy,"Action,Thriller",7%,18%
She's So Lovely,she's so lovely,"Drama,Romance",66%,62%
Shiloh,shiloh,"Drama,Family",73%,63%
Sliding Doors,sliding doors,"Comedy,Drama,Fantasy",65%,77%
A Smile Like Yours,a smile like yours,"Comedy,Romance",6%,19%
Smilla's Sense of Snow,smilla's sense of snow,"Crime,Drama,Mystery",53%,57%
Soldier,soldier,"Action,Drama,Sci-Fi",,
The Sorcerer's Apprentice,the sorcerer's apprentice,"Adventure,Family,Fantasy",40%,53%
Soul Food,soul food,"Comedy,Drama",82%,86%
Soul Survivors,soul survivors,,4%,26%
The Spanish Prisoner,the spanish prisoner,"Drama,Mystery,Thriller",89%,81%
Spawn,spawn,"Action,Crime,Drama",17%,36%
Speed 2: Cruise Control,speed 2: cruise control,"Action,Adventure,Crime",4%,16%
Sphere,sphere,"Mystery,Sci-Fi,Thriller",13%,38%
Spice World,spice world,"Comedy,Family,Music",35%,45%
Three Kings,three kings,"Action,Adventure,Comedy",94%,77%
Sprung,sprung,"Comedy,Romance",20%,73%
Star Maps,star maps,"Comedy,Drama",39%,45%
Starship Troopers,starship troopers,"Action,Adventure,Sci-Fi",72%,70%
State and Main,state and main,"Comedy,Drama",85%,70%
Suicide Kings,suicide kings,"Comedy,Crime,Drama",35%,74%
The Sweet Hereafter,the sweet hereafter,Drama,98%,86%
Swept from the Sea,swept from the sea,"Drama,Mystery,Romance",28%,76%
The Tango Lesson,the tango lesson,"Drama,Music,Romance",53%,78%
Telling Lies in America,telling lies in america,"Drama,Music",61%,45%
That Darn Cat,that darn cat,"Action,Comedy,Crime",13%,23%
That Old Feeling,that old feeling,"Comedy,Romance",43%,59%
Smoke Signals,smoke signals,"Comedy,Drama",90%,82%
Tomorrow Never Dies,tomorrow never dies,"Action,Adventure,Thriller",57%,53%
Touch,touch,"Comedy,Drama,Romance",,
Toy Story 2,toy story 2,"Adventure,Animation,Comedy",100%,87%
The Truman Show,the truman show,"Comedy,Drama",94%,89%
"Truth or Consequences, N.M.","truth or consequences, n.m.","Action,Crime,Drama",38%,46%
Turbo: A Power Rangers Movie,turbo: a power rangers movie,"Action,Adventure,Family",16%,40%
Twin Town,twin town,"Comedy,Drama",46%,89%
Ulee's Gold,ulee's gold,Drama,94%,75%
Vegas Vacation,vegas vacation,Comedy,15%,51%
Star Kid,star kid,"Adventure,Family,Sci-Fi",43%,36%
Warriors of Virtue,warriors of virtue,"Action,Adventure,Fantasy",18%,47%
Washington Square,washington square,"Drama,Romance",81%,69%
The Man Who Knew Too Little,the man who knew too little,"Comedy,Crime,Drama",37%,69%
The Waterboy,the waterboy,"Comedy,Sport",33%,71%
Welcome to Sarajevo,welcome to sarajevo,"Drama,War",78%,74%
Western,western,"Comedy,Romance",80%,83%
Wide Awake,wide awake,"Comedy,Drama,Family",80%,50%
Wild America,wild america,"Action,Adventure,Comedy",29%,59%
Wild Life,wild life,"Comedy,Thriller",,50%
The Wings of the Dove,the wings of the dove,"Drama,Romance",,
The Wings of the Dove,the wings of the dove,"Drama,Romance",85%,78%
Wishmaster,wishmaster,"Fantasy,Horror",25%,39%
Wonderland,wonderland,Documentary,34%,65%
Woo,woo,"Comedy,Romance",10%,62%
Zeus and Roxanne,zeus and roxanne,"Adventure,Comedy,Family",40%,42%
Dance with Me,dance with me,"Drama,Music,Romance",51%,67%
54,54,"Drama,Music",15%,36%
American History X,american history x,"Crime,Drama",84%,96%
Antz,antz,"Adventure,Animation,Comedy",92%,52%
Babe: Pig in the City,babe: pig in the city,"Adventure,Comedy,Drama",65%,41%
The Bachelor,the bachelor,"Comedy,Romance",,
The Bachelor,the bachelor,"Comedy,Romance",,
Barney's Great Adventure,barney's great adventure,"Adventure,Comedy,Drama",32%,44%
Being John Malkovich,being john malkovich,"Comedy,Drama,Fantasy",94%,87%
Beowulf,beowulf,"Action,Adventure,Fantasy",71%,50%
The Big Hit,the big hit,"Action,Comedy,Crime",41%,57%
Black Dog,black dog,"Action,Crime,Drama",14%,60%
Boss,boss,,,
Breakfast of Champions,breakfast of champions,Comedy,25%,31%
Brokedown Palace,brokedown palace,"Drama,Mystery,Thriller",31%,66%
A Bug's Life,a bug's life,"Adventure,Animation,Comedy",92%,73%
